Reference,Breadth of Coverage,Contigs
Bacillus_subtilis,0.9854036790381436,20
Enterococcus_faecalis,0.9776684548209877,19
Escherichia_coli_plasmid,1.0,2
Escherichia_coli,0.9768258253078314,86
Lactobacillus_fermentum,0.9418836497347183,80
Listeria_monocytogenes,0.9883723184047812,17
Pseudomonas_aeruginosa,0.9902974384342339,55
Salmonella_enterica,0.9822761550721404,54
Staphylococcus_aureus,0.9861206129219724,17
Staphylococcus_aureus_plasmid1,0.9998421966230078,1
Staphylococcus_aureus_plasmid2,0.0,0
Staphylococcus_aureus_plasmid3,0.0,0
