task_id	hash	process	tag	status	exit	start	container	cpus	time	disk	memory	duration	realtime	queue	%cpu	%mem	rss	vmem	rchar	wchar
5	47/4ee1d4	PROCESS_READS	ERR2984773	CACHED	0	2021-06-14 19:27:33.889	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	2m 33s	2m 25s	-	57.2%	0.0%	53.4 MB	494.7 MB	892.5 MB	457 B
66	85/a6fc9d	reformat_IDBA	LHS	CACHED	0	2021-06-14 19:27:34.045	docker:pcerqueira/bbtools:38.44	4	-	-	8 GB	6m 7s	5m 57s	-	136.0%	0.2%	239.6 MB	3 GB	5.5 GB	15.3 GB
10	5e/6d6bf9	BCALM2	ERR2935805	CACHED	0	2021-06-14 19:27:33.900	docker:cimendes/bcalm:2.2.3-1	4	-	-	16 GB	18m 29s	18m 22s	-	335.6%	5.0%	6.3 GB	12.4 GB	33.4 GB	14.6 GB
6	ee/98a551	PROCESS_READS	LHS	CACHED	0	2021-06-14 19:27:33.941	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	8m 39s	8m 30s	-	73.2%	0.0%	54 MB	494.7 MB	2.7 GB	428 B
1	f9/72399b	PROCESS_REFERENCE	-	CACHED	0	2021-06-14 19:27:33.858	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	9s	2s	-	113.2%	0.0%	43.6 MB	468.5 MB	37.3 MB	88.5 MB
3	66/d06043	PROCESS_READS	ENN	CACHED	0	2021-06-14 19:27:33.934	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	57.8s	48.7s	-	100.7%	0.0%	53.5 MB	494.7 MB	310.2 MB	430 B
49	9e/dda38b	SPADES	LNN	CACHED	0	2021-06-14 19:27:33.961	docker:cimendes/spades:3.15.0-1	4	-	-	16 GB	1h 27m 9s	1h 27m	-	309.7%	1.9%	2.4 GB	3.1 GB	46.4 GB	29.3 GB
65	59/226d43	reformat_IDBA	ERR2984773	CACHED	0	2021-06-14 19:27:34.055	docker:pcerqueira/bbtools:38.44	4	-	-	8 GB	1m 21s	1m 13s	-	141.8%	0.1%	154.4 MB	3 GB	1.8 GB	3.6 GB
4	7c/b99778	PROCESS_READS	ERR2935805	CACHED	0	2021-06-14 19:27:33.924	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	7m 39s	7m 32s	-	75.4%	0.0%	54.1 MB	494.7 MB	3 GB	459 B
52	e0/63f0af	SKESA	LHS	CACHED	0	2021-06-14 19:27:34.017	docker:cimendes/skesa:2.4.0-1	4	-	-	16 GB	1h 20m 33s	1h 20m 24s	-	298.8%	4.2%	10.5 GB	12.9 GB	2.7 GB	25.6 MB
24	04/80e295	MINIA	LHS	CACHED	0	2021-06-14 19:27:33.931	docker:cimendes/minia:3.2.4-1	4	-	-	16 GB	31m 24s	31m 13s	-	449.4%	6.3%	8 GB	13.5 GB	29.1 GB	16.3 GB
64	8d/4f7226	reformat_IDBA	ERR2935805	CACHED	0	2021-06-14 19:27:34.020	docker:pcerqueira/bbtools:38.44	4	-	-	8 GB	6m 3s	5m 53s	-	138.8%	0.2%	233.4 MB	3 GB	6.1 GB	15.1 GB
43	e6/69c3a0	UNICYCLER	LHS	CACHED	0	2021-06-14 19:27:33.973	docker:cimendes/unicycler:0.4.8-1	4	-	-	16 GB	18h 53m 46s	18h 53m 33s	-	176.3%	12.7%	16 GB	19.2 GB	212.7 GB	1 TB
7	0d/7dbe71	PROCESS_READS	LNN	CACHED	0	2021-06-14 19:27:33.909	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	8m 4s	7m 57s	-	72.9%	0.0%	53.9 MB	494.7 MB	1.5 GB	434 B
