,Reference,Breadth of Coverage,Contigs
0,2615840527,0.9948643959557396,27
1,2615840533A,0.9891394966974307,27
2,2615840533B,0.989016281973743,34
3,2615840601,0.972912580094211,137
4,2615840646,0.999326890223937,32
5,2615840697,0.9751078442390649,175
6,2616644829,0.965168911732551,159
7,2617270709,0.9804212062592246,101
8,2623620557,0.9561917015831861,1186
9,2623620567,0.9759224062970411,801
10,2623620609,0.00254590570059824,5
11,2623620617,0.7930220531300326,702
12,2623620618,0.7902890184010296,689
