,Sample,Assembler,Reference,Reference Length,SNP Location,Substitution Type
0,SRR8073716,Unicycler,2615840527,3593735.0,472768.0,t->c
1,SRR8073716,Unicycler,2615840527,3593735.0,472768.0,t->c
2,SRR8073716,Unicycler,2615840527,3593735.0,472768.0,t->c
3,SRR8073716,Unicycler,2615840527,3593735.0,2494645.0,a->g
4,SRR8073716,Unicycler,2615840527,3593735.0,2495578.0,a->c
5,SRR8073716,Unicycler,2615840527,3593735.0,2494645.0,a->g
6,SRR8073716,Unicycler,2615840527,3593735.0,2495578.0,a->c
7,SRR8073716,Unicycler,2615840527,3593735.0,2494645.0,a->g
8,SRR8073716,Unicycler,2615840527,3593735.0,2495578.0,a->c
9,SRR8073716,Unicycler,2615840527,3593735.0,2182580.0,g->a
10,SRR8073716,Unicycler,2615840527,3593735.0,2182650.0,t->c
11,SRR8073716,Unicycler,2615840527,3593735.0,2183375.0,c->t
12,SRR8073716,Unicycler,2615840527,3593735.0,2183987.0,t->c
13,SRR8073716,Unicycler,2615840527,3593735.0,2183990.0,c->t
14,SRR8073716,Unicycler,2615840527,3593735.0,2184054.0,c->t
15,SRR8073716,Unicycler,2615840527,3593735.0,2182580.0,g->a
16,SRR8073716,Unicycler,2615840527,3593735.0,2182650.0,t->c
17,SRR8073716,Unicycler,2615840527,3593735.0,2183375.0,c->t
18,SRR8073716,Unicycler,2615840527,3593735.0,2183987.0,t->c
19,SRR8073716,Unicycler,2615840527,3593735.0,2183990.0,c->t
20,SRR8073716,Unicycler,2615840527,3593735.0,2184054.0,c->t
21,SRR8073716,Unicycler,2615840527,3593735.0,2182580.0,g->a
22,SRR8073716,Unicycler,2615840527,3593735.0,2182650.0,t->c
23,SRR8073716,Unicycler,2615840527,3593735.0,2183375.0,c->t
24,SRR8073716,Unicycler,2615840527,3593735.0,2183987.0,t->c
25,SRR8073716,Unicycler,2615840527,3593735.0,2183990.0,c->t
26,SRR8073716,Unicycler,2615840527,3593735.0,2184054.0,c->t
27,SRR8073716,Unicycler,2615840527,3593735.0,2491640.0,t->c
28,SRR8073716,Unicycler,2615840527,3593735.0,2491907.0,g->a
29,SRR8073716,Unicycler,2615840527,3593735.0,2491949.0,c->a
30,SRR8073716,Unicycler,2615840527,3593735.0,2492401.0,c->t
31,SRR8073716,Unicycler,2615840527,3593735.0,2492479.0,c->t
32,SRR8073716,Unicycler,2615840527,3593735.0,2492527.0,c->g
33,SRR8073716,Unicycler,2615840527,3593735.0,2493251.0,c->t
34,SRR8073716,Unicycler,2615840527,3593735.0,2493252.0,g->t
35,SRR8073716,Unicycler,2615840527,3593735.0,2493257.0,t->c
36,SRR8073716,Unicycler,2615840527,3593735.0,2493260.0,a->g
37,SRR8073716,Unicycler,2615840527,3593735.0,2493266.0,t->c
38,SRR8073716,Unicycler,2615840527,3593735.0,2493267.0,g->a
39,SRR8073716,Unicycler,2615840527,3593735.0,2493272.0,c->t
40,SRR8073716,Unicycler,2615840527,3593735.0,2491640.0,t->c
41,SRR8073716,Unicycler,2615840527,3593735.0,2491907.0,g->a
42,SRR8073716,Unicycler,2615840527,3593735.0,2491949.0,c->a
43,SRR8073716,Unicycler,2615840527,3593735.0,2492401.0,c->t
44,SRR8073716,Unicycler,2615840527,3593735.0,2492479.0,c->t
45,SRR8073716,Unicycler,2615840527,3593735.0,2492527.0,c->g
46,SRR8073716,Unicycler,2615840527,3593735.0,2493251.0,c->t
47,SRR8073716,Unicycler,2615840527,3593735.0,2493252.0,g->t
48,SRR8073716,Unicycler,2615840527,3593735.0,2493257.0,t->c
49,SRR8073716,Unicycler,2615840527,3593735.0,2493260.0,a->g
50,SRR8073716,Unicycler,2615840527,3593735.0,2493266.0,t->c
51,SRR8073716,Unicycler,2615840527,3593735.0,2493267.0,g->a
52,SRR8073716,Unicycler,2615840527,3593735.0,2493272.0,c->t
53,SRR8073716,Unicycler,2615840527,3593735.0,2491640.0,t->c
54,SRR8073716,Unicycler,2615840527,3593735.0,2491907.0,g->a
55,SRR8073716,Unicycler,2615840527,3593735.0,2491949.0,c->a
56,SRR8073716,Unicycler,2615840527,3593735.0,2492401.0,c->t
57,SRR8073716,Unicycler,2615840527,3593735.0,2492479.0,c->t
58,SRR8073716,Unicycler,2615840527,3593735.0,2492527.0,c->g
59,SRR8073716,Unicycler,2615840527,3593735.0,2493251.0,c->t
60,SRR8073716,Unicycler,2615840527,3593735.0,2493252.0,g->t
61,SRR8073716,Unicycler,2615840527,3593735.0,2493257.0,t->c
62,SRR8073716,Unicycler,2615840527,3593735.0,2493260.0,a->g
63,SRR8073716,Unicycler,2615840527,3593735.0,2493266.0,t->c
64,SRR8073716,Unicycler,2615840527,3593735.0,2493267.0,g->a
65,SRR8073716,Unicycler,2615840527,3593735.0,2493272.0,c->t
66,SRR8073716,Unicycler,2615840527,3593735.0,2518169.0,c->t
67,SRR8073716,Unicycler,2615840527,3593735.0,2518398.0,g->a
68,SRR8073716,Unicycler,2615840527,3593735.0,2519403.0,c->t
69,SRR8073716,Unicycler,2615840527,3593735.0,2518169.0,c->t
70,SRR8073716,Unicycler,2615840527,3593735.0,2518398.0,g->a
71,SRR8073716,Unicycler,2615840527,3593735.0,2519403.0,c->t
72,SRR8073716,Unicycler,2615840527,3593735.0,2518169.0,c->t
73,SRR8073716,Unicycler,2615840527,3593735.0,2518398.0,g->a
74,SRR8073716,Unicycler,2615840527,3593735.0,2519403.0,c->t
75,SRR8073716,Unicycler,2615840533A,1024354.0,951185.0,t->c
76,SRR8073716,Unicycler,2615840533A,1024354.0,951185.0,t->c
77,SRR8073716,Unicycler,2615840533A,1024354.0,1002656.0,t->c
78,SRR8073716,Unicycler,2615840533A,1024354.0,951185.0,t->c
79,SRR8073716,Unicycler,2615840533A,1024354.0,1002656.0,t->c
80,SRR8073716,Unicycler,2615840533A,1024354.0,1002656.0,t->c
81,SRR8073716,Unicycler,2615840533A,1024354.0,289642.0,a->g
82,SRR8073716,Unicycler,2615840533A,1024354.0,289940.0,a->t
83,SRR8073716,Unicycler,2615840533A,1024354.0,289975.0,g->a
84,SRR8073716,Unicycler,2615840533A,1024354.0,290368.0,c->a
85,SRR8073716,Unicycler,2615840533A,1024354.0,290383.0,a->g
86,SRR8073716,Unicycler,2615840533A,1024354.0,290452.0,t->c
87,SRR8073716,Unicycler,2615840533A,1024354.0,290535.0,c->g
88,SRR8073716,Unicycler,2615840533A,1024354.0,290616.0,t->c
89,SRR8073716,Unicycler,2615840533A,1024354.0,290619.0,a->g
90,SRR8073716,Unicycler,2615840533A,1024354.0,290668.0,t->c
91,SRR8073716,Unicycler,2615840533A,1024354.0,290809.0,t->g
92,SRR8073716,Unicycler,2615840533A,1024354.0,290821.0,g->a
93,SRR8073716,Unicycler,2615840533A,1024354.0,290864.0,a->g
94,SRR8073716,Unicycler,2615840533A,1024354.0,290905.0,c->t
95,SRR8073716,Unicycler,2615840533A,1024354.0,290965.0,g->t
96,SRR8073716,Unicycler,2615840533A,1024354.0,290968.0,a->c
97,SRR8073716,Unicycler,2615840533A,1024354.0,289642.0,a->g
98,SRR8073716,Unicycler,2615840533A,1024354.0,289940.0,a->t
99,SRR8073716,Unicycler,2615840533A,1024354.0,289975.0,g->a
100,SRR8073716,Unicycler,2615840533A,1024354.0,290368.0,c->a
101,SRR8073716,Unicycler,2615840533A,1024354.0,290383.0,a->g
102,SRR8073716,Unicycler,2615840533A,1024354.0,290452.0,t->c
103,SRR8073716,Unicycler,2615840533A,1024354.0,290535.0,c->g
104,SRR8073716,Unicycler,2615840533A,1024354.0,290616.0,t->c
105,SRR8073716,Unicycler,2615840533A,1024354.0,290619.0,a->g
106,SRR8073716,Unicycler,2615840533A,1024354.0,290668.0,t->c
107,SRR8073716,Unicycler,2615840533A,1024354.0,290809.0,t->g
108,SRR8073716,Unicycler,2615840533A,1024354.0,290821.0,g->a
109,SRR8073716,Unicycler,2615840533A,1024354.0,290864.0,a->g
110,SRR8073716,Unicycler,2615840533A,1024354.0,290905.0,c->t
111,SRR8073716,Unicycler,2615840533A,1024354.0,290965.0,g->t
112,SRR8073716,Unicycler,2615840533A,1024354.0,290968.0,a->c
113,SRR8073716,Unicycler,2615840533A,1024354.0,289642.0,a->g
114,SRR8073716,Unicycler,2615840533A,1024354.0,289940.0,a->t
115,SRR8073716,Unicycler,2615840533A,1024354.0,289975.0,g->a
116,SRR8073716,Unicycler,2615840533A,1024354.0,290368.0,c->a
117,SRR8073716,Unicycler,2615840533A,1024354.0,290383.0,a->g
118,SRR8073716,Unicycler,2615840533A,1024354.0,290452.0,t->c
119,SRR8073716,Unicycler,2615840533A,1024354.0,290535.0,c->g
120,SRR8073716,Unicycler,2615840533A,1024354.0,290616.0,t->c
121,SRR8073716,Unicycler,2615840533A,1024354.0,290619.0,a->g
122,SRR8073716,Unicycler,2615840533A,1024354.0,290668.0,t->c
123,SRR8073716,Unicycler,2615840533A,1024354.0,290809.0,t->g
124,SRR8073716,Unicycler,2615840533A,1024354.0,290821.0,g->a
125,SRR8073716,Unicycler,2615840533A,1024354.0,290864.0,a->g
126,SRR8073716,Unicycler,2615840533A,1024354.0,290905.0,c->t
127,SRR8073716,Unicycler,2615840533A,1024354.0,290965.0,g->t
128,SRR8073716,Unicycler,2615840533A,1024354.0,290968.0,a->c
129,SRR8073716,Unicycler,2615840533A,1024354.0,799089.0,t->c
130,SRR8073716,Unicycler,2615840533A,1024354.0,799143.0,t->c
131,SRR8073716,Unicycler,2615840533A,1024354.0,799163.0,t->c
132,SRR8073716,Unicycler,2615840533A,1024354.0,799164.0,t->c
133,SRR8073716,Unicycler,2615840533A,1024354.0,799172.0,t->g
134,SRR8073716,Unicycler,2615840533A,1024354.0,799188.0,c->t
135,SRR8073716,Unicycler,2615840533A,1024354.0,799194.0,t->a
136,SRR8073716,Unicycler,2615840533A,1024354.0,799227.0,c->t
137,SRR8073716,Unicycler,2615840533A,1024354.0,799230.0,t->g
138,SRR8073716,Unicycler,2615840533A,1024354.0,799380.0,c->g
139,SRR8073716,Unicycler,2615840533A,1024354.0,799684.0,g->a
140,SRR8073716,Unicycler,2615840533A,1024354.0,799686.0,c->t
141,SRR8073716,Unicycler,2615840533A,1024354.0,799701.0,c->a
142,SRR8073716,Unicycler,2615840533A,1024354.0,799723.0,c->g
143,SRR8073716,Unicycler,2615840533A,1024354.0,799728.0,a->g
144,SRR8073716,Unicycler,2615840533A,1024354.0,799734.0,a->g
145,SRR8073716,Unicycler,2615840533A,1024354.0,799746.0,c->g
146,SRR8073716,Unicycler,2615840533A,1024354.0,799761.0,c->g
147,SRR8073716,Unicycler,2615840533A,1024354.0,799762.0,t->c
148,SRR8073716,Unicycler,2615840533A,1024354.0,799763.0,t->g
149,SRR8073716,Unicycler,2615840533A,1024354.0,799764.0,c->t
150,SRR8073716,Unicycler,2615840533A,1024354.0,799766.0,c->t
151,SRR8073716,Unicycler,2615840533A,1024354.0,799776.0,c->t
152,SRR8073716,Unicycler,2615840533A,1024354.0,799777.0,t->c
153,SRR8073716,Unicycler,2615840533A,1024354.0,799779.0,a->g
154,SRR8073716,Unicycler,2615840533A,1024354.0,799782.0,g->t
155,SRR8073716,Unicycler,2615840533A,1024354.0,799791.0,c->a
156,SRR8073716,Unicycler,2615840533A,1024354.0,799794.0,c->g
157,SRR8073716,Unicycler,2615840533A,1024354.0,799797.0,g->a
158,SRR8073716,Unicycler,2615840533A,1024354.0,799798.0,a->t
159,SRR8073716,Unicycler,2615840533A,1024354.0,799799.0,a->g
160,SRR8073716,Unicycler,2615840533A,1024354.0,799800.0,g->a
161,SRR8073716,Unicycler,2615840533A,1024354.0,799803.0,g->t
162,SRR8073716,Unicycler,2615840533A,1024354.0,799805.0,a->t
163,SRR8073716,Unicycler,2615840533A,1024354.0,799809.0,g->c
164,SRR8073716,Unicycler,2615840533A,1024354.0,799810.0,c->g
165,SRR8073716,Unicycler,2615840533A,1024354.0,799812.0,a->g
166,SRR8073716,Unicycler,2615840533A,1024354.0,799943.0,t->g
167,SRR8073716,Unicycler,2615840533A,1024354.0,799989.0,c->a
168,SRR8073716,Unicycler,2615840533A,1024354.0,800004.0,a->g
169,SRR8073716,Unicycler,2615840533A,1024354.0,800073.0,t->c
170,SRR8073716,Unicycler,2615840533A,1024354.0,800237.0,t->c
171,SRR8073716,Unicycler,2615840533A,1024354.0,800240.0,a->g
172,SRR8073716,Unicycler,2615840533A,1024354.0,800364.0,g->c
173,SRR8073716,Unicycler,2615840533A,1024354.0,800370.0,t->c
174,SRR8073716,Unicycler,2615840533A,1024354.0,800376.0,t->c
175,SRR8073716,Unicycler,2615840533A,1024354.0,800379.0,a->t
176,SRR8073716,Unicycler,2615840533A,1024354.0,800382.0,c->a
177,SRR8073716,Unicycler,2615840533A,1024354.0,800383.0,t->c
178,SRR8073716,Unicycler,2615840533A,1024354.0,800394.0,g->a
179,SRR8073716,Unicycler,2615840533A,1024354.0,800400.0,a->c
180,SRR8073716,Unicycler,2615840533A,1024354.0,800401.0,a->c
181,SRR8073716,Unicycler,2615840533A,1024354.0,800402.0,g->a
182,SRR8073716,Unicycler,2615840533A,1024354.0,800406.0,t->c
183,SRR8073716,Unicycler,2615840533A,1024354.0,800412.0,c->g
184,SRR8073716,Unicycler,2615840533A,1024354.0,800436.0,a->g
185,SRR8073716,Unicycler,2615840533A,1024354.0,800570.0,t->g
186,SRR8073716,Unicycler,2615840533A,1024354.0,800586.0,g->t
187,SRR8073716,Unicycler,2615840533A,1024354.0,800589.0,a->c
188,SRR8073716,Unicycler,2615840533A,1024354.0,799089.0,t->c
189,SRR8073716,Unicycler,2615840533A,1024354.0,799143.0,t->c
190,SRR8073716,Unicycler,2615840533A,1024354.0,799163.0,t->c
191,SRR8073716,Unicycler,2615840533A,1024354.0,799164.0,t->c
192,SRR8073716,Unicycler,2615840533A,1024354.0,799172.0,t->g
193,SRR8073716,Unicycler,2615840533A,1024354.0,799188.0,c->t
194,SRR8073716,Unicycler,2615840533A,1024354.0,799194.0,t->a
195,SRR8073716,Unicycler,2615840533A,1024354.0,799227.0,c->t
196,SRR8073716,Unicycler,2615840533A,1024354.0,799230.0,t->g
197,SRR8073716,Unicycler,2615840533A,1024354.0,799380.0,c->g
198,SRR8073716,Unicycler,2615840533A,1024354.0,799684.0,g->a
199,SRR8073716,Unicycler,2615840533A,1024354.0,799686.0,c->t
200,SRR8073716,Unicycler,2615840533A,1024354.0,799701.0,c->a
201,SRR8073716,Unicycler,2615840533A,1024354.0,799723.0,c->g
202,SRR8073716,Unicycler,2615840533A,1024354.0,799728.0,a->g
203,SRR8073716,Unicycler,2615840533A,1024354.0,799734.0,a->g
204,SRR8073716,Unicycler,2615840533A,1024354.0,799746.0,c->g
205,SRR8073716,Unicycler,2615840533A,1024354.0,799761.0,c->g
