,Reference,Assembler,Lx,nContigs
0,Bacillus_subtilis,GATBMiniaPipeline,0.0,0
1,Bacillus_subtilis,GATBMiniaPipeline,0.1111111111111111,5
2,Bacillus_subtilis,GATBMiniaPipeline,0.2222222222222222,12
3,Bacillus_subtilis,GATBMiniaPipeline,0.3333333333333333,21
4,Bacillus_subtilis,GATBMiniaPipeline,0.4444444444444444,34
5,Bacillus_subtilis,GATBMiniaPipeline,0.5555555555555556,49
6,Bacillus_subtilis,GATBMiniaPipeline,0.6666666666666666,67
7,Bacillus_subtilis,GATBMiniaPipeline,0.7777777777777777,91
8,Bacillus_subtilis,GATBMiniaPipeline,0.8888888888888888,127
9,Bacillus_subtilis,GATBMiniaPipeline,1.0,
10,Enterococcus_faecalis,GATBMiniaPipeline,0.0,0
11,Enterococcus_faecalis,GATBMiniaPipeline,0.1111111111111111,
12,Enterococcus_faecalis,GATBMiniaPipeline,0.2222222222222222,
13,Enterococcus_faecalis,GATBMiniaPipeline,0.3333333333333333,
14,Enterococcus_faecalis,GATBMiniaPipeline,0.4444444444444444,
15,Enterococcus_faecalis,GATBMiniaPipeline,0.5555555555555556,
16,Enterococcus_faecalis,GATBMiniaPipeline,0.6666666666666666,
17,Enterococcus_faecalis,GATBMiniaPipeline,0.7777777777777777,
18,Enterococcus_faecalis,GATBMiniaPipeline,0.8888888888888888,
19,Enterococcus_faecalis,GATBMiniaPipeline,1.0,
20,Escherichia_coli_plasmid,GATBMiniaPipeline,0.0,0
21,Escherichia_coli_plasmid,GATBMiniaPipeline,0.1111111111111111,
22,Escherichia_coli_plasmid,GATBMiniaPipeline,0.2222222222222222,
23,Escherichia_coli_plasmid,GATBMiniaPipeline,0.3333333333333333,
24,Escherichia_coli_plasmid,GATBMiniaPipeline,0.4444444444444444,
25,Escherichia_coli_plasmid,GATBMiniaPipeline,0.5555555555555556,
26,Escherichia_coli_plasmid,GATBMiniaPipeline,0.6666666666666666,
27,Escherichia_coli_plasmid,GATBMiniaPipeline,0.7777777777777777,
28,Escherichia_coli_plasmid,GATBMiniaPipeline,0.8888888888888888,
29,Escherichia_coli_plasmid,GATBMiniaPipeline,1.0,
30,Escherichia_coli,GATBMiniaPipeline,0.0,0
31,Escherichia_coli,GATBMiniaPipeline,0.1111111111111111,
32,Escherichia_coli,GATBMiniaPipeline,0.2222222222222222,
33,Escherichia_coli,GATBMiniaPipeline,0.3333333333333333,
34,Escherichia_coli,GATBMiniaPipeline,0.4444444444444444,
35,Escherichia_coli,GATBMiniaPipeline,0.5555555555555556,
36,Escherichia_coli,GATBMiniaPipeline,0.6666666666666666,
37,Escherichia_coli,GATBMiniaPipeline,0.7777777777777777,
38,Escherichia_coli,GATBMiniaPipeline,0.8888888888888888,
39,Escherichia_coli,GATBMiniaPipeline,1.0,
40,Lactobacillus_fermentum,GATBMiniaPipeline,0.0,0
41,Lactobacillus_fermentum,GATBMiniaPipeline,0.1111111111111111,
42,Lactobacillus_fermentum,GATBMiniaPipeline,0.2222222222222222,
43,Lactobacillus_fermentum,GATBMiniaPipeline,0.3333333333333333,
44,Lactobacillus_fermentum,GATBMiniaPipeline,0.4444444444444444,
45,Lactobacillus_fermentum,GATBMiniaPipeline,0.5555555555555556,
46,Lactobacillus_fermentum,GATBMiniaPipeline,0.6666666666666666,
47,Lactobacillus_fermentum,GATBMiniaPipeline,0.7777777777777777,
48,Lactobacillus_fermentum,GATBMiniaPipeline,0.8888888888888888,
49,Lactobacillus_fermentum,GATBMiniaPipeline,1.0,
50,Listeria_monocytogenes,GATBMiniaPipeline,0.0,0
51,Listeria_monocytogenes,GATBMiniaPipeline,0.1111111111111111,0
52,Listeria_monocytogenes,GATBMiniaPipeline,0.2222222222222222,1
53,Listeria_monocytogenes,GATBMiniaPipeline,0.3333333333333333,1
54,Listeria_monocytogenes,GATBMiniaPipeline,0.4444444444444444,3
55,Listeria_monocytogenes,GATBMiniaPipeline,0.5555555555555556,4
56,Listeria_monocytogenes,GATBMiniaPipeline,0.6666666666666666,6
57,Listeria_monocytogenes,GATBMiniaPipeline,0.7777777777777777,9
58,Listeria_monocytogenes,GATBMiniaPipeline,0.8888888888888888,12
59,Listeria_monocytogenes,GATBMiniaPipeline,1.0,
60,Pseudomonas_aeruginosa,GATBMiniaPipeline,0.0,0
61,Pseudomonas_aeruginosa,GATBMiniaPipeline,0.1111111111111111,2
62,Pseudomonas_aeruginosa,GATBMiniaPipeline,0.2222222222222222,6
63,Pseudomonas_aeruginosa,GATBMiniaPipeline,0.3333333333333333,10
64,Pseudomonas_aeruginosa,GATBMiniaPipeline,0.4444444444444444,16
65,Pseudomonas_aeruginosa,GATBMiniaPipeline,0.5555555555555556,24
66,Pseudomonas_aeruginosa,GATBMiniaPipeline,0.6666666666666666,32
67,Pseudomonas_aeruginosa,GATBMiniaPipeline,0.7777777777777777,45
