,Reference,Breadth of Coverage,Contigs
0,Bacillus_subtilis,0.9821458806523605,94
1,Enterococcus_faecalis,0.0,0
2,Escherichia_coli_plasmid,0.0,0
3,Escherichia_coli,0.0009100954918271872,4
4,Lactobacillus_fermentum,0.0020348149116191237,2
5,Listeria_monocytogenes,0.9862839875923274,18
6,Pseudomonas_aeruginosa,0.9887690969078358,99
7,Salmonella_enterica,0.0008330276447524721,3
8,Staphylococcus_aureus,0.0,0
9,Staphylococcus_aureus_plasmid1,0.0,0
10,Staphylococcus_aureus_plasmid2,0.0,0
11,Staphylococcus_aureus_plasmid3,0.0,0
