Reference,Breadth of Coverage,Contigs
Bacillus_subtilis,0.9835476237969566,21
Enterococcus_faecalis,0.9760981966632366,18
Escherichia_coli_plasmid,0.9877189633386966,4
Escherichia_coli,0.9637762268872048,104
Lactobacillus_fermentum,0.9405678692386056,77
Listeria_monocytogenes,0.9877430454139267,17
Pseudomonas_aeruginosa,0.9891330368224158,67
Salmonella_enterica,0.9767088411860633,85
Staphylococcus_aureus,0.9816362486115096,21
Staphylococcus_aureus_plasmid1,1.0,1
Staphylococcus_aureus_plasmid2,0.944043321299639,1
Staphylococcus_aureus_plasmid3,0.983962579351821,1
