Reference,Breadth of Coverage,Contigs
Bacillus_subtilis,0.9820586270233634,23
Enterococcus_faecalis,0.9885678317785388,19
Escherichia_coli_plasmid,0.9756742752733917,3
Escherichia_coli,0.9638683486121096,109
Lactobacillus_fermentum,0.931354256709982,80
Listeria_monocytogenes,0.9740367244118486,16
Pseudomonas_aeruginosa,0.9871731791594343,76
Salmonella_enterica,0.973969619387253,85
Staphylococcus_aureus,0.98213978328515,25
Staphylococcus_aureus_plasmid1,1.0,1
Staphylococcus_aureus_plasmid2,0.9557761732851986,1
Staphylococcus_aureus_plasmid3,0.967256932843301,1
