Reference,Breadth of Coverage,Contigs
Bacillus_subtilis,0.9837260858936588,28
Enterococcus_faecalis,0.9894141123613196,45
Escherichia_coli_plasmid,0.9811557446344323,3
Escherichia_coli,0.9683065592766577,213
Lactobacillus_fermentum,0.9405741673502742,88
Listeria_monocytogenes,0.9743976457236506,18
Pseudomonas_aeruginosa,0.9882753046450923,117
Salmonella_enterica,0.9761140615486624,189
Staphylococcus_aureus,0.9823064021362523,65
Staphylococcus_aureus_plasmid1,1.0,1
Staphylococcus_aureus_plasmid2,1.0,1
Staphylococcus_aureus_plasmid3,1.0,1
