Reference,Breadth of Coverage,Contigs
Bacillus_subtilis,0.9799143629113248,38
Enterococcus_faecalis,0.9827067764301017,55
Escherichia_coli_plasmid,0.9966547583335605,1
Escherichia_coli,0.953132915071324,282
Lactobacillus_fermentum,0.9305187072286052,97
Listeria_monocytogenes,0.9720269274033516,25
Pseudomonas_aeruginosa,0.9830573602872652,145
Salmonella_enterica,0.9620498656861102,263
Staphylococcus_aureus,0.9738518747379339,77
Staphylococcus_aureus_plasmid1,0.9419283572668455,1
Staphylococcus_aureus_plasmid2,0.0,0
Staphylococcus_aureus_plasmid3,0.0,0
