Reference,Breadth of Coverage,Contigs
Bacillus_subtilis,0.8910758323019855,979
Enterococcus_faecalis,0.7921221399371334,866
Escherichia_coli_plasmid,0.9835737725781086,10
Escherichia_coli,0.3506836942868163,749
Lactobacillus_fermentum,0.8153042014178099,551
Listeria_monocytogenes,0.8139694593732936,826
Pseudomonas_aeruginosa,0.4538121675478076,1745
Salmonella_enterica,0.3627132624303902,794
Staphylococcus_aureus,0.7805541456094277,770
Staphylococcus_aureus_plasmid1,1.0,1
Staphylococcus_aureus_plasmid2,0.0,0
Staphylococcus_aureus_plasmid3,0.0,0
