Reference,Breadth of Coverage,Contigs
Bacillus_subtilis,0.9827581391198555,19
Enterococcus_faecalis,0.9907988073348066,18
Escherichia_coli_plasmid,0.9881462088776168,1
Escherichia_coli,0.9738374301270356,77
Lactobacillus_fermentum,0.935544600340203,75
Listeria_monocytogenes,0.0011950505657441562,2
Pseudomonas_aeruginosa,0.989330318167698,55
Salmonella_enterica,0.9802041957701104,61
Staphylococcus_aureus,0.9847479384135531,19
Staphylococcus_aureus_plasmid1,1.0,1
Staphylococcus_aureus_plasmid2,1.0,1
Staphylococcus_aureus_plasmid3,0.0,0
