Reference,Breadth of Coverage,Contigs
Bacillus_subtilis,0.9768473854932067,115
Enterococcus_faecalis,0.9611086978525278,166
Escherichia_coli_plasmid,0.011172016326233785,1
Escherichia_coli,0.7900638220988896,1117
Lactobacillus_fermentum,0.9199048145389809,237
Listeria_monocytogenes,0.9752999490031554,128
Pseudomonas_aeruginosa,0.9588973150597807,516
Salmonella_enterica,0.804297330151651,1084
Staphylococcus_aureus,0.9564793767792907,176
Staphylococcus_aureus_plasmid1,0.0,0
Staphylococcus_aureus_plasmid2,0.0,0
Staphylococcus_aureus_plasmid3,0.0,0
