Assembler,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCALM2,0.0,0.000764519757756242,1271.0,0.0,0.0,647119.0,0.15995320437098662,496.0,0.9999417783646515,0.9846272098385856,0.0,0.0,1.0007711101049421,1.0008251959840462,0.9999459587155467
GATBMiniaPipeline,125.0,0.0286095503916897,31451.0,31451.0,0.0,3960150.0,0.9788596568633631,205.0,0.9998483334373502,0.9948333763885301,0.0,0.0,1.0010378394757775,1.001100210850599,0.9999376971714263
IDBA-UD,41.0,0.057949262879859166,101732.0,101732.0,0.0,3973333.0,0.982118196781404,74.0,0.9990482947042856,0.9441707717569786,1.0,2.0,1.0002335570665737,1.0003493288883665,0.9998842686065261
MEGAHIT,13.0,0.18999242895564822,263503.0,263503.0,0.0,3982262.0,0.9843252439579334,27.0,0.9988935986471974,0.9806072375154171,0.0,0.0,0.9998084003513581,1.0002425757019504,0.9995659299442563
MetaHipMer2,0.0,0.003645619756594508,3008.0,2697.0,0.0,3516610.0,0.8692265843269248,1409.0,0.9959379002478501,0.9238805970149254,0.0,0.0,1.0162472146655548,1.0193649095706143,0.9969415320502129
metaSPAdes,56.0,0.040758814902919834,61490.0,62046.0,0.0,3972365.0,0.981878929039565,107.0,0.9998310189019977,0.9938053097345133,2.0,6.0,1.000829984153017,1.000889394604977,0.9999406423404222
MINIA,175.0,0.023662047167878206,24189.0,24106.0,0.0,3942229.0,0.9744299903328911,278.0,0.9996108928854877,0.9823911028730306,2.0,3.0,1.000788303374253,1.000936474977267,0.9998542801961211
SKESA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPAdes,11.0,0.17512075234874164,263192.0,315047.0,0.0,3974512.0,0.9824096189587058,37.0,0.999208532890164,0.9838391801340165,2.0,5.0,0.9997904145213299,0.9998963394751356,0.9998940640648197
Unicycler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VelvetOptimiser,0.0,0.000329240322447887,1071.0,0.0,0.0,6621.0,0.0016365616928884833,6.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
