Assembler,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events
ABySS,0.9996658870698296,2992.0,2992.0,0.0,2992.0,0.9996658870698296,1.0,1.0,1.0,0.0,0.0
BCALM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GATBMiniaPipeline,0.9996658870698296,2992.0,2992.0,0.0,2992.0,0.9996658870698296,1.0,1.0,1.0,0.0,0.0
IDBA-UD,0.9512195121951219,2847.0,2847.0,0.0,2847.0,0.9512195121951219,1.0,1.0,1.0,0.0,0.0
MEGAHIT,0.9996658870698296,2992.0,2992.0,0.0,2992.0,0.9996658870698296,1.0,1.0,1.0,0.0,0.0
MetaHipMer2,0.9989976612094889,2990.0,2990.0,0.0,2990.0,0.9989976612094889,1.0,1.0,1.0,0.0,0.0
metaSPAdes,0.5603073838957567,1677.0,1677.0,0.0,2992.0,0.9996658870698296,2.0,1.0,1.0,0.0,0.0
MINIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKESA,0.7049782826595389,2110.0,2110.0,0.0,2110.0,0.7049782826595389,1.0,1.0,1.0,0.0,0.0
SPAdes,0.5603073838957567,1677.0,1677.0,0.0,1677.0,0.5603073838957567,1.0,1.0,1.0,0.0,0.0
Unicycler,0.9689274974941531,2900.0,2900.0,0.0,2900.0,0.9689274974941531,1.0,1.0,1.0,0.0,0.0
VelvetOptimiser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
