Assembler,Algorithm,Type,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,Single k-mer De Bruijn graph,Genomic,0.67 [0.0;1.0],0.34 [0.0;0.51],37092.67 [0.0;55639.0],37092.67 [0.0;55639.0],0.0 [0.0;0.0],72949.33 [0.0;109424.0],0.66 [0.0;0.99],2.0 [0.0;3.0],0.67 [0.0;1.0],0.67 [0.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.67 [0.0;1.0],0.67 [0.0;1.0],0.67 [0.0;1.0]
BCALM2,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,Metagenomic,2.0 [2.0;2.0],0.48 [0.48;0.48],28587.0 [28587.0;28587.0],28587.0 [28587.0;28587.0],0.0 [0.0;0.0],109450.0 [109450.0;109450.0],0.99 [0.99;0.99],3.0 [3.0;3.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
IDBA-UD,Multiple k-mer De Bruijn graph,Metagenomic,4.0 [4.0;4.0],0.29 [0.29;0.29],28584.0 [28584.0;28584.0],28584.0 [28584.0;28584.0],0.0 [0.0;0.0],108159.0 [108159.0;108159.0],0.98 [0.98;0.98],7.0 [7.0;7.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MEGAHIT,Multiple k-mer De Bruijn graph,Metagenomic,1.0 [1.0;1.0],0.5 [0.5;0.5],55277.0 [55277.0;55277.0],55277.0 [55277.0;55277.0],0.0 [0.0;0.0],109516.0 [109516.0;109516.0],1.0 [1.0;1.0],3.0 [3.0;3.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MetaHipMer2,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],0.01 [0.01;0.01],1503.0 [1503.0;1503.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1503.0 [1503.0;1503.0],0.01 [0.01;0.01],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
metaSPAdes,Multiple k-mer De Bruijn graph,Metagenomic,1.0 [1.0;1.0],0.5 [0.5;0.5],55105.0 [55105.0;55105.0],55105.0 [55105.0;55105.0],0.0 [0.0;0.0],108144.0 [108144.0;108144.0],0.98 [0.98;0.98],2.0 [2.0;2.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MINIA,Single k-mer De Bruijn graph,Genomic,6.0 [6.0;6.0],0.23 [0.23;0.23],14811.0 [14811.0;14811.0],14811.0 [14811.0;14811.0],0.0 [0.0;0.0],104297.0 [104297.0;104297.0],0.95 [0.95;0.95],8.0 [8.0;8.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SKESA,Multiple k-mer De Bruijn graph,Genomic,2.0 [2.0;2.0],0.48 [0.48;0.48],28384.0 [28384.0;28384.0],28384.0 [28384.0;28384.0],0.0 [0.0;0.0],107808.0 [107808.0;107808.0],0.98 [0.98;0.98],3.0 [3.0;3.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SPAdes,Multiple k-mer De Bruijn graph,Genomic,2.0 [2.0;2.0],0.48 [0.48;0.48],28541.0 [28541.0;28541.0],28541.0 [28541.0;28541.0],0.0 [0.0;0.0],109262.0 [109262.0;109262.0],0.99 [0.99;0.99],4.0 [4.0;4.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
Unicycler,Multiple k-mer De Bruijn graph,Genomic,1.0 [1.0;1.0],0.5 [0.5;0.5],54997.0 [54997.0;54997.0],52932.0 [52932.0;52932.0],0.0 [0.0;0.0],107929.0 [107929.0;107929.0],0.98 [0.98;0.98],2.0 [2.0;2.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
VelvetOptimiser,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0]
