Assembler,Algorithm,Type,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,Single k-mer De Bruijn graph,Genomic,10.0 [10.0;10.0],0.35 [0.35;0.35],281333.0 [281333.0;281333.0],281333.0 [281333.0;281333.0],0.0 [0.0;0.0],2693907.0 [2693907.0;2693907.0],0.99 [0.99;0.99],20.0 [20.0;20.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.01 [1.01;1.01],1.01 [1.01;1.01],1.0 [1.0;1.0]
BCALM2,Single k-mer De Bruijn graph,Genomic,112.0 [112.0;112.0],0.03 [0.03;0.03],29647.0 [29647.0;29647.0],29165.0 [29165.0;29165.0],0.0 [0.0;0.0],2600423.0 [2600423.0;2600423.0],0.96 [0.96;0.96],175.0 [175.0;175.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,Metagenomic,39.0 [39.0;39.0],0.07 [0.07;0.07],63844.0 [63844.0;63844.0],53404.0 [53404.0;53404.0],0.0 [0.0;0.0],2670675.0 [2670675.0;2670675.0],0.98 [0.98;0.98],65.0 [65.0;65.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
IDBA-UD,Multiple k-mer De Bruijn graph,Metagenomic,43.0 [43.0;43.0],0.07 [0.07;0.07],53248.0 [53248.0;53248.0],53248.0 [53248.0;53248.0],0.0 [0.0;0.0],2665812.0 [2665812.0;2665812.0],0.98 [0.98;0.98],74.0 [74.0;74.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MEGAHIT,Multiple k-mer De Bruijn graph,Metagenomic,14.0 [14.0;14.0],0.13 [0.13;0.13],181811.0 [181811.0;181811.0],213210.0 [213210.0;213210.0],0.0 [0.0;0.0],2681291.0 [2681291.0;2681291.0],0.99 [0.99;0.99],40.0 [40.0;40.0],1.0 [1.0;1.0],0.99 [0.99;0.99],3.0 [3.0;3.0],7.0 [7.0;7.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MetaHipMer2,Multiple k-mer De Bruijn graph,Metagenomic,41.33 [41.0;42.0],0.07 [0.07;0.07],53315.33 [53246.0;53350.0],53280.67 [53246.0;53350.0],0.0 [0.0;0.0],2667122.67 [2667090.0;2667139.0],0.98 [0.98;0.98],68.67 [68.0;69.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
metaSPAdes,Multiple k-mer De Bruijn graph,Metagenomic,8.0 [8.0;8.0],0.38 [0.38;0.38],360908.0 [360908.0;360908.0],360908.0 [360908.0;360908.0],0.0 [0.0;0.0],2681445.0 [2681445.0;2681445.0],0.99 [0.99;0.99],19.0 [19.0;19.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MINIA,Single k-mer De Bruijn graph,Genomic,112.0 [112.0;112.0],0.03 [0.03;0.03],29647.0 [29647.0;29647.0],29165.0 [29165.0;29165.0],0.0 [0.0;0.0],2600575.33 [2600575.0;2600576.0],0.96 [0.96;0.96],175.0 [175.0;175.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SKESA,Multiple k-mer De Bruijn graph,Genomic,43.0 [43.0;43.0],0.06 [0.06;0.06],53048.0 [53048.0;53048.0],53048.0 [53048.0;53048.0],0.0 [0.0;0.0],2652026.0 [2652026.0;2652026.0],0.98 [0.98;0.98],73.0 [73.0;73.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SPAdes,Multiple k-mer De Bruijn graph,Genomic,14.0 [14.0;14.0],0.21 [0.21;0.21],214432.0 [214432.0;214432.0],214432.0 [214432.0;214432.0],0.0 [0.0;0.0],2670466.0 [2670466.0;2670466.0],0.98 [0.98;0.98],24.0 [24.0;24.0],1.0 [1.0;1.0],0.93 [0.93;0.93],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
Unicycler,Multiple k-mer De Bruijn graph,Genomic,14.0 [14.0;14.0],0.31 [0.31;0.31],223263.0 [223263.0;223263.0],164016.0 [164016.0;164016.0],0.0 [0.0;0.0],2670223.0 [2670223.0;2670223.0],0.98 [0.98;0.98],25.0 [25.0;25.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
