Assembler,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,10.0,0.35038362795077205,281333.0,281333.0,0.0,2693907.0,0.9908514112947719,20.0,0.9999241303483846,0.9994993045897079,0.0,0.0,1.006460133924445,1.006460133924445,1.0
BCALM2,112.0,0.033342896446200136,29647.0,29165.0,0.0,2600423.0,0.9564668711701572,175.0,1.0,1.0,0.0,0.0,1.0005768292312442,1.0005768292312442,1.0
GATBMiniaPipeline,39.0,0.06690316980410331,63844.0,53404.0,0.0,2670675.0,0.9823064021362523,65.0,1.0,1.0,0.0,0.0,1.0006698681045054,1.0006698681045054,1.0
IDBA-UD,43.0,0.06690243418003664,53248.0,53248.0,0.0,2665812.0,0.9805177322181272,74.0,0.9999782105735441,0.9985418217920079,0.0,0.0,1.0000056268033906,1.0000056268033906,1.0
MEGAHIT,14.0,0.13352054965830262,181811.0,213210.0,0.0,2681291.0,0.9862110946821736,40.0,0.9995092996729467,0.9926850712150519,3.0,7.0,0.9998511910866817,1.0003770571713402,0.9994743321221846
MetaHipMer2,41.0,0.06690169855596996,53350.0,53350.0,0.0,2667139.0,0.9810058187863674,68.0,0.9999631930066711,0.9974603174603175,0.0,0.0,1.0006516345792251,1.0006516345792251,1.0
metaSPAdes,8.0,0.3813993776620396,360908.0,360908.0,0.0,2681445.0,0.9862677377353077,19.0,0.9997323481242683,0.9964028776978417,0.0,0.0,1.0000264782607884,1.0000264782607884,1.0
MINIA,112.0,0.033342896446200136,29647.0,29165.0,0.0,2600576.0,0.956523146411258,175.0,0.9999993787469326,0.9998912807131985,0.0,0.0,1.0005914074420437,1.00059179197224,0.999999615697231
SKESA,43.0,0.06460691927997117,53048.0,53048.0,0.0,2652026.0,0.9754470755265229,73.0,0.9999997114012106,0.9999789322883749,0.0,0.0,1.0000180993700665,1.0000180993700665,1.0
SPAdes,14.0,0.2113058062807583,214432.0,214432.0,0.0,2670466.0,0.9822295294212845,24.0,0.9969268597535255,0.9349904397705545,0.0,0.0,0.999986893673239,1.0000138552597186,0.999973038787075
Unicycler,14.0,0.30929902382686353,223263.0,164016.0,0.0,2670223.0,0.9821401510971833,25.0,0.9999913158361374,0.999787657085497,0.0,0.0,0.9999662949498974,0.9999662949498974,1.0
VelvetOptimiser,104.0,0.033342896446200136,32297.0,30086.0,0.0,2603433.0,0.9575739853905061,164.0,1.0,1.0,0.0,0.0,1.0004609298568468,1.0004609298568468,1.0
