,run,sample,assembler,contigs,basepairs,max_contig,n50,mapped_reads,Ns,misassembled contigs,misassembly events,filtered_contigs,filtered_basepairs,filtered_n50,filtered_Ns,filtered_mapped_reads,distribution,type,algorythm
0,run1,EMS,ABySS,32431.0,34563949.0,841100.0,124246.0,98.63473004819745,883.0,2.0,3.0,499.0,30988200.0,138706.0,610.0,98.12072638202723,Even,Genomic,Single k-mer De Bruijn graph
2,run1,EMS,GATBMiniaPipeline,943.0,30509406.0,768585.0,121957.0,98.94329842636957,0.0,1.0,1.0,657.0,30343348.0,122545.0,0.0,98.14125966694876,Even,Metagenomic,Multiple k-mer De Bruijn graph
3,run1,EMS,IDBA-UD,1829.0,30408932.0,468323.0,61907.0,98.64244141213,0.0,13.0,22.0,1254.0,30145929.0,63178.0,0.0,97.29908766881769,Even,Metagenomic,Multiple k-mer De Bruijn graph
4,run1,EMS,MEGAHIT,979.0,30599129.0,768640.0,171540.0,99.05324938664779,0.0,10.0,21.0,518.0,30418717.0,171540.0,0.0,98.64734140057718,Even,Metagenomic,Multiple k-mer De Bruijn graph
5,run1,EMS,MetaHipMer2,884.0,30381252.0,468375.0,106383.0,98.03137699919245,0.0,0.0,0.0,712.0,30262824.0,106637.0,0.0,97.25183493469812,Even,Metagenomic,Multiple k-mer De Bruijn graph
6,run1,EMS,metaSPAdes,761.0,30482042.0,917726.0,208969.0,98.77395004515843,0.0,1.0,3.0,365.0,30402517.0,208969.0,0.0,98.28335364087353,Even,Metagenomic,Multiple k-mer De Bruijn graph
7,run1,EMS,MINIA,16748.0,30649641.0,161812.0,17967.0,95.93598600458584,0.0,0.0,0.0,3574.0,28218378.0,20782.0,0.0,92.15722987319785,Even,Genomic,Single k-mer De Bruijn graph
8,run1,EMS,SKESA,1269.0,30249132.0,632013.0,73839.0,97.9525332826451,0.0,9.0,18.0,891.0,30064811.0,74138.0,0.0,97.23735122900929,Even,Genomic,Multiple k-mer De Bruijn graph
9,run1,EMS,SPAdes,2628.0,30664883.0,850176.0,206515.0,98.70005184540622,0.0,0.0,0.0,412.0,30354786.0,208991.0,0.0,98.28335364087353,Even,Genomic,Multiple k-mer De Bruijn graph
10,run1,EMS,Unicycler,656.0,30301867.0,1303875.0,245050.0,98.45713534496545,0.0,0.0,0.0,334.0,30188943.0,245050.0,0.0,97.60986417186496,Even,Genomic,Multiple k-mer De Bruijn graph
11,run1,EMS,VelvetOptimiser,11069.0,30526291.0,847777.0,29176.0,95.85054636863052,4383.0,6.0,11.0,3035.0,28467054.0,33291.0,4383.0,92.22203947649228,Even,Genomic,Multiple k-mer De Bruijn graph
12,run1,LNN,ABySS,44621.0,20132631.0,851314.0,9569.0,99.85142858361394,1347.0,0.0,0.0,1212.0,13573734.0,192306.0,400.0,98.90162456730303,Log,Genomic,Single k-mer De Bruijn graph
14,run1,LNN,GATBMiniaPipeline,693.0,13910838.0,632215.0,136741.0,99.71967730260347,0.0,1.0,3.0,219.0,13658336.0,140561.0,0.0,98.8071711080772,Log,Metagenomic,Multiple k-mer De Bruijn graph
15,run1,LNN,IDBA-UD,1987.0,14324747.0,585610.0,105808.0,99.69487724593913,0.0,2.0,2.0,261.0,13642314.0,108043.0,0.0,98.95194490145539,Log,Metagenomic,Multiple k-mer De Bruijn graph
16,run1,LNN,MEGAHIT,1842.0,14402555.0,1080013.0,203548.0,99.76514633800011,0.0,1.0,2.0,172.0,13704539.0,210993.0,0.0,99.68686805587961,Log,Metagenomic,Multiple k-mer De Bruijn graph
