Assembler,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events
ABySS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCALM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GATBMiniaPipeline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IDBA-UD,0.00036430515409855904,1117.0,0.0,0.0,9720.0,0.0020421257772998812,8.0,0.8938602495857261,0.3225806451612903,1.0,1.0
MEGAHIT,0.0007653769759982991,1144.0,0.0,0.0,19352.0,0.004065763173076883,15.0,0.9584159293466226,0.7962962962962963,0.0,0.0
MetaHipMer2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metaSPAdes,0.0003645152493431372,1223.0,0.0,0.0,26159.0,0.005495881502920534,23.0,0.9117490141796825,0.07818532818532818,1.0,1.0
MINIA,0.0002756449608865683,1313.0,0.0,0.0,1312.0,0.0002756449608865683,1.0,0.9992383853769993,0.9992383853769993,0.0,0.0
SKESA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPAdes,0.000467461919186444,1251.0,0.0,0.0,49112.0,0.010318197651723432,43.0,0.8927106663836755,0.06445623342175066,2.0,2.0
Unicycler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VelvetOptimiser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
