Assembler,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCALM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GATBMiniaPipeline,0.0,0.000250764148658863,1088.0,0.0,0.0,4337.0,0.0009100954918271872,4.0,0.9901036757775683,0.9604147031102733,0.0,0.0,1.0,1.0096841134424717,0.9904087691253711
IDBA-UD,0.0,0.000250764148658863,30548.0,0.0,0.0,6562.0,0.0013769994506271622,7.0,0.8363605601031613,0.007856488149797041,1.0,1.0,1.0,5.633648277964036,0.17750486907595758
MEGAHIT,0.0,0.0009520643870002186,1224.0,0.0,0.0,13369.0,0.0028054107978412878,9.0,0.9862787942154458,0.9589442815249267,0.0,0.0,0.9935672077193507,0.9999252000897599,0.9936415320167564
MetaHipMer2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metaSPAdes,0.0,0.00025684963845895256,1088.0,0.0,0.0,7698.0,0.001615382775209981,7.0,0.9943449575871819,0.9604147031102733,0.0,0.0,1.0,1.005455962587685,0.9945736434108527
MINIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKESA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPAdes,0.0,0.00025684963845895256,1094.0,0.0,0.0,10860.0,0.0022789110078956084,10.0,0.9763330487872512,0.8726968174204355,0.0,0.0,1.0,1.0194290976058933,0.9809411977237829
Unicycler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VelvetOptimiser,0.0,0.0007128416845139393,1297.0,0.0,0.0,34920.0,0.0073277690972112924,4.0,0.9897360703812317,0.9589442815249267,0.0,0.0,1.0,1.0069589422407794,0.9930891499654457
