Assembler,contigs,basepairs,max_contig,n50,mapped_reads,Ns,misassembled contigs,misassembly events,filtered_contigs,filtered_basepairs,filtered_n50,filtered_Ns,filtered_mapped_reads
ABySS,44619.0,20132631.0,851314.0,9569.0,99.85142858361394,1345.0,0.0,0.0,1211.0,13573790.0,192306.0,400.0,98.90162456730303
GATBMiniaPipeline,693.0,13911245.0,632215.0,136741.0,99.71968357448291,0.0,1.0,3.0,219.0,13658336.0,140561.0,0.0,98.80719828622149
IDBA-UD,1987.0,14324920.0,585610.0,105808.0,99.69488038187885,0.0,2.0,2.0,261.0,13642314.0,108043.0,0.0,98.95194490145539
MEGAHIT,1842.0,14402555.0,1080013.0,203548.0,99.76514633800011,0.0,1.0,2.0,172.0,13704539.0,210993.0,0.0,99.68686805587961
MetaHipMer2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metaSPAdes,6700.0,15514698.0,850099.0,220609.0,99.79800262381985,0.0,1.0,3.0,139.0,13692577.0,239185.0,0.0,99.59185535406934
MINIA,15000.0,16401090.0,177038.0,26474.0,99.011020779322,0.0,2.0,4.0,762.0,13501500.0,33550.0,0.0,97.53520364123578
SKESA,9514.0,8202941.0,59272.0,1155.0,95.10132973879378,0.0,12.0,23.0,1433.0,4470092.0,7385.0,0.0,91.7664250905952
SPAdes,7331.0,15606257.0,632639.0,122703.0,99.7139092641346,0.0,0.0,0.0,227.0,13640340.0,136684.0,0.0,99.59185535406934
Unicycler,185.0,11719230.0,847534.0,242687.0,99.22649328850362,0.0,0.0,0.0,112.0,11691061.0,242687.0,0.0,98.60565666661482
VelvetOptimiser,35804.0,19638608.0,847474.0,118621.0,98.75713196318691,4932.0,0.0,0.0,209.0,13685752.0,210246.0,0.0,97.54106157664346
