Assembler,Type,Algorithm,LSA,breadth_of_coverage,multiplicity,validity,parsimony,identity,lowest_identity,L90,contigs,NA50,NG50,basepairs,Ns,misassembled contigs,misassembly events
ABySS,Genomic,Single k-mer De Bruijn graph,0.03 [0;0],0.44 [0;0],0.45 [0;1],0.44 [0;0],0.45 [0;1],0.44 [0;0],0.41 [0;0],25.39 [0;118],47.94 [0;214],50713.0 [0;157988],50577.39 [0;157988],2084884.22 [0;4703394],0.72 [0;2],0.11 [0;1],0.33 [0;4]
GATBMiniaPipeline,Metagenomic,Multiple k-mer De Bruijn graph,0.03 [0;0],0.49 [0;0],0.83 [0;1],0.83 [0;1],0.83 [0;1],0.83 [0;0],0.76 [0;0],43.83 [0;96],84.33 [0;178],29865.67 [0;64572],28480.83 [0;60374],2324249.44 [0;4652574],0.0 [0;0],0.17 [0;1],0.17 [0;1]
IDBA-UD,Metagenomic,Multiple k-mer De Bruijn graph,0.01 [0;0],0.48 [0;0],1.0 [0;1],0.98 [0;0],1.03 [1;1],0.97 [0;0],0.7 [0;0],91.11 [0;200],183.22 [1;397],14221.83 [1117;29331],13730.17 [0;28547],2294290.39 [1463;4618887],0.0 [0;0],3.06 [0;9],4.78 [0;14]
MEGAHIT,Metagenomic,Multiple k-mer De Bruijn graph,0.05 [0;0],0.49 [0;0],1.0 [0;1],0.99 [0;0],1.02 [1;1],0.98 [0;0],0.93 [0;0],22.0 [0;47],55.67 [2;105],55611.17 [1086;120785],55436.17 [0;120785],2340324.0 [4780;4671620],0.0 [0;0],0.67 [0;3],1.33 [0;6]
MetaHipMer2,Metagenomic,Multiple k-mer De Bruijn graph,0.02 [0;0],0.33 [0;0],0.5 [0;1],0.5 [0;1],0.5 [0;1],0.5 [0;1],0.48 [0;1],28.67 [0;86],68.17 [0;162],20998.72 [0;64529],19881.17 [0;60329],1564287.22 [0;4641887],0.0 [0;0],0.0 [0;0],0.0 [0;0]
metaSPAdes,Metagenomic,Multiple k-mer De Bruijn graph,0.04 [0;0],0.49 [0;0],0.99 [0;1],0.97 [0;1],1.02 [0;1],0.98 [0;0],0.82 [0;0],21.67 [0;77],47.83 [2;145],72896.67 [1223;198784],71169.83 [0;198784],2341005.0 [2586;4680545],0.0 [0;0],0.17 [0;1],0.17 [0;1]
MINIA,Genomic,Single k-mer De Bruijn graph,0.01 [0;0],0.4 [0;0],1.0 [1;1],1.0 [0;1],1.0 [1;1],1.0 [0;1],0.96 [0;1],0.0 [0;0],545.83 [1;1106],3136.72 [1313;4996],1742.83 [0;3551],1909666.17 [1312;3826699],0.0 [0;0],0.0 [0;0],0.0 [0;0]
SKESA,Genomic,Multiple k-mer De Bruijn graph,0.02 [0;0],0.48 [0;0],0.5 [0;1],0.5 [0;0],0.5 [0;1],0.5 [0;0],0.31 [0;0],56.0 [0;144],99.17 [0;245],24313.5 [0;60912],24052.83 [0;60131],2292543.83 [0;4612070],0.0 [0;0],0.67 [0;2],0.83 [0;3]
SPAdes,Genomic,Multiple k-mer De Bruijn graph,0.05 [0;0],0.49 [0;0],1.0 [0;1],0.97 [0;0],1.03 [1;1],0.97 [0;0],0.74 [0;0],20.5 [0;50],52.0 [1;110],63117.0 [1251;164404],61275.17 [0;157954],2331905.67 [1463;4666050],0.0 [0;0],0.5 [0;2],0.5 [0;2]
Unicycler,Genomic,Multiple k-mer De Bruijn graph,0.05 [0;0],0.49 [0;0],0.5 [0;1],0.5 [0;1],0.5 [0;1],0.5 [0;0],0.5 [0;0],14.5 [0;35],34.83 [0;89],89927.0 [0;223960],89466.67 [0;223960],2324333.67 [0;4660116],0.0 [0;0],0.0 [0;0],0.0 [0;0]
VelvetOptimiser,Genomic,Multiple k-mer De Bruijn graph,0.0 [0;0],0.27 [0;0],0.51 [0;1],0.5 [0;1],0.51 [0;1],0.48 [0;1],0.44 [0;1],0.0 [0;0],353.89 [0;1058],1921.39 [0;5223],1248.33 [0;3753],1291284.0 [0;3867436],637.67 [0;5739],0.11 [0;1],0.11 [0;1]
