Assembler,Algorithm,Type,contigs,basepairs,max_contig,n50,mapped_reads,Ns,misassembled contigs,misassembly events,filtered_contigs,filtered_basepairs,filtered_n50,filtered_Ns,filtered_mapped_reads
ABySS,Single k-mer De Bruijn graph,Genomic,677855.33 [677853;677860],78727988.67 [78727717;78728532],88665.0 [88665;88665],101.0 [101;101],91.83 [91;91],9.0 [9;9],0.0 [0;0],0.0 [0;0],356.0 [356;356],3150980.0 [3150980;3150980],18568.0 [18568;18568],0.0 [0;0],79.03 [79;79]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,Metagenomic,6776.33 [6776;6777],17140207.33 [17126362;17147130],542997.0 [542997;542997],55722.33 [55204;56759],89.4 [89;89],0.0 [0;0],0.67 [0;1],1.33 [0;2],603.0 [603;603],13905380.67 [13891328;13912407],90393.0 [90095;90989],0.0 [0;0],88.9 [88;88]
IDBA-UD,Multiple k-mer De Bruijn graph,Metagenomic,14155.67 [14155;14156],23587129.0 [23586883;23587252],632213.0 [632213;632213],51161.0 [51161;51161],89.8 [89;89],0.0 [0;0],3.0 [3;3],5.0 [5;5],2725.0 [2725;2725],17534580.0 [17534580;17534580],113853.0 [113853;113853],0.0 [0;0],89.23 [89;89]
MEGAHIT,Multiple k-mer De Bruijn graph,Metagenomic,14172.0 [14172;14172],24498566.0 [24498566;24498566],768410.0 [768410;768410],82249.0 [82249;82249],89.76 [89;89],0.0 [0;0],1.0 [1;1],2.0 [2;2],3044.0 [3044;3044],18552996.0 [18552996;18552996],210993.0 [210993;210993],0.0 [0;0],89.5 [89;89]
MetaHipMer2,Multiple k-mer De Bruijn graph,Metagenomic,11970.67 [11966;11973],15029445.33 [15029183;15029970],14760.0 [14760;14760],1515.67 [1515;1516],84.35 [84;84],0.0 [0;0],0.0 [0;0],0.0 [0;0],5033.33 [5031;5038],10257182.33 [10253731;10264085],2174.67 [2170;2177],0.0 [0;0],73.91 [73;73]
metaSPAdes,Multiple k-mer De Bruijn graph,Metagenomic,26282.0 [26282;26282],27822010.0 [27822010;27822010],622107.0 [622107;622107],3674.0 [3674;3674],89.93 [89;89],0.0 [0;0],3.0 [3;3],7.0 [7;7],3392.0 [3392;3392],18792639.0 [18792639;18792639],87983.0 [87983;87983],0.0 [0;0],89.37 [89;89]
MINIA,Single k-mer De Bruijn graph,Genomic,37287.33 [37281;37300],20758237.33 [20757924;20758864],163543.0 [163543;163543],7485.0 [7485;7485],87.68 [87;87],0.0 [0;0],2.0 [2;2],3.0 [3;3],1464.0 [1463;1466],13447286.0 [13446596;13448666],18204.67 [18038;18288],0.0 [0;0],84.24 [84;84]
SKESA,Multiple k-mer De Bruijn graph,Genomic,8822.0 [8822;8822],8818742.0 [8818742;8818742],29155.0 [29155;29155],1431.0 [1431;1431],78.66 [78;78],0.0 [0;0],0.0 [0;0],0.0 [0;0],2889.0 [2889;2889],5801439.0 [5801439;5801439],2148.0 [2148;2148],0.0 [0;0],62.71 [62;62]
SPAdes,Multiple k-mer De Bruijn graph,Genomic,36214.0 [36214;36214],29517365.0 [29517365;29517365],847683.0 [847683;847683],1972.0 [1972;1972],87.24 [87;87],0.0 [0;0],572.0 [572;572],1148.0 [1148;1148],4999.0 [4999;4999],19595813.0 [19595813;19595813],55465.0 [55465;55465],0.0 [0;0],57.93 [57;57]
Unicycler,Multiple k-mer De Bruijn graph,Genomic,205.0 [205;205],9747587.0 [9747587;9747587],847580.0 [847580;847580],256884.0 [256884;256884],88.06 [88;88],0.0 [0;0],0.0 [0;0],0.0 [0;0],144.0 [144;144],9725301.0 [9725301;9725301],256884.0 [256884;256884],0.0 [0;0],87.48 [87;87]
VelvetOptimiser,Multiple k-mer De Bruijn graph,Genomic,525998.0 [525998;525998],47958628.0 [47958628;47958628],2044.0 [2044;2044],88.0 [88;88],1.39 [1;1],0.0 [0;0],0.0 [0;0],0.0 [0;0],340.0 [340;340],409222.0 [409222;409222],1180.0 [1180;1180],0.0 [0;0],0.02 [0;0]
