Assembler,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events
ABySS,0.10626033665070148,255341.0,255341.0,47.0,3991152.0,0.9865226512151118,26.0,0.9999101583249156,0.9982537326464682,0.0,0.0
BCALM2,0.032648182244899925,65138.0,64934.0,0.0,3951974.0,0.9768387342835327,116.0,1.0,1.0,0.0,0.0
GATBMiniaPipeline,0.09783282254119645,269695.0,263366.0,0.0,3979577.0,0.9836615725872332,28.0,1.0,1.0,0.0,0.0
IDBA-UD,0.0847363741593805,252653.0,212969.0,0.0,3976292.0,0.98284959476498,38.0,0.9981533280491511,0.9300986842105263,0.0,0.0
MEGAHIT,0.09791043625084257,264135.0,264135.0,0.0,3989275.0,0.9860586991991699,27.0,0.9981596678712408,0.9538606403013182,0.0,0.0
MetaHipMer2,0.09783183383151942,257264.0,257264.0,0.0,3975427.0,0.9826357862973243,27.0,1.0,1.0,0.0,0.0
metaSPAdes,0.2552934898164139,343843.0,343843.0,0.0,3987932.0,0.9857267399251102,18.0,0.9996381347921433,0.9943875866622648,0.0,0.0
MINIA,0.032648182244899925,65138.0,64960.0,0.0,3951999.0,0.9768449137190142,116.0,1.0,1.0,0.0,0.0
SKESA,0.0977828927025069,256909.0,256909.0,0.0,3967464.0,0.9806675125077954,30.0,1.0,1.0,0.0,0.0
SPAdes,0.19004779669756136,315046.0,315046.0,0.0,3982668.0,0.984425597990151,22.0,0.9994617464656081,0.9896401308615049,0.0,0.0
Unicycler,0.18989998460084678,294271.0,294271.0,0.0,3973744.0,0.9822197867007179,22.0,1.0,1.0,0.0,0.0
VelvetOptimiser,0.060170399169286126,69914.0,69010.0,0.0,3953983.0,0.9773353137188164,109.0,1.0,1.0,0.0,0.0
