Assembler,Algorithm,Ns,Type,basepairs,contigs,filtered_Ns,filtered_basepairs,filtered_contigs,filtered_mapped_reads,filtered_n50,mapped_reads,max_contig,misassembled contigs,misassembly events,n50
ABySS,Multiple k-mer De Bruijn graph,1823.12 [147;3884],Metagenomic,47705094.62 [31503127;91720949],138398.25 [4769;497797],1103.75 [5;2328],30810219.75 [30632246;30988200],1170.62 [497;1825],100.22 [81;107],98691.38 [52698;138706],103.33 [92;108],747140.75 [297881;952618],4.0 [2;8],7.12 [3;14],79091.88 [139;124246]
BCALM2,Single k-mer De Bruijn graph,0.0 [0;0],Genomic,80340494.0 [31047581;170402348],1261858.33 [25377;3508016],0.0 [0;0],14860681.0 [0;28174748],3275.0 [0;6250],39.88 [0;92],7918.67 [0;20700],56.66 [8;96],66942.33 [994;161812],0.0 [0;0],0.0 [0;0],6029.67 [49;17395]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,0.0 [0;0],Metagenomic,31253352.33 [30440762;32810830],2480.44 [943;5400],0.0 [0;0],30393672.67 [30273320;30564396],744.0 [657;814],93.59 [82;98],108898.33 [90988;122545],94.75 [84;100],723087.33 [632215;768585],1.67 [1;3],3.0 [1;6],104806.0 [90346;121957]
IDBA-UD,Multiple k-mer De Bruijn graph,0.0 [0;0],Metagenomic,33525497.0 [30390566;39779384],7944.44 [1822;20194],0.0 [0;0],30613010.56 [30130413;31562690],1729.0 [1254;2654],92.47 [81;98],52473.33 [29134;65108],94.54 [84;100],452420.67 [303329;585610],11.44 [4;18],21.22 [7;36],48829.89 [20993;63725]
MEGAHIT,Multiple k-mer De Bruijn graph,0.0 [0;0],Metagenomic,34103641.33 [30545419;41166407],7469.0 [814;20614],0.0 [0;0],30953572.33 [30418624;32021766],830.0 [518;1447],94.89 [84;100],167083.67 [149841;179870],96.22 [86;101],868917.67 [632274;1205839],11.33 [9;15],23.56 [18;32],146076.33 [88308;178381]
MetaHipMer2,Multiple k-mer De Bruijn graph,0.0 [0;0],Metagenomic,24646614.11 [13174826;30381792],7041.0 [882;19361],0.0 [0;0],20709564.33 [1599587;30264953],913.22 [712;1310],66.63 [3;98],69954.0 [1175;106637],74.44 [25;99],313232.67 [2964;468375],0.0 [0;0],0.0 [0;0],69010.56 [658;106383]
metaSPAdes,Multiple k-mer De Bruijn graph,0.0 [0;0],Metagenomic,36633480.0 [30453778;48964620],21015.0 [640;61644],0.0 [0;0],30917818.67 [30383186;31967753],804.33 [359;1689],94.17 [83;100],180893.67 [95101;238611],95.36 [85;100],809315.0 [473277;1036942],1.67 [1;2],4.0 [3;6],163304.0 [42332;238611]
MINIA,Single k-mer De Bruijn graph,0.0 [0;0],Genomic,34159156.67 [30641333;41187744],33769.78 [16570;68012],0.0 [0;0],28234093.56 [28205937;28279162],3714.44 [3574;3983],86.52 [74;92],19098.78 [15817;20782],91.29 [80;97],147189.67 [117945;161812],0.0 [0;0],0.0 [0;0],14292.56 [7060;17967]
SKESA,Multiple k-mer De Bruijn graph,0.0 [0;0],Genomic,30263322.33 [30110758;30430077],1647.67 [1269;2322],0.0 [0;0],30037221.0 [29835112;30211740],1154.33 [846;1726],91.9 [80;97],65058.67 [43168;77870],92.76 [81;98],569520.0 [446163;632013],6.33 [0;10],12.33 [0;19],64292.67 [42115;76924]
SPAdes,Multiple k-mer De Bruijn graph,0.0 [0;0],Genomic,35881180.33 [30442718;46535940],14529.0 [1140;39819],0.0 [0;0],31043946.33 [30276227;32500826],968.33 [412;2049],93.29 [82;99],170923.67 [99299;208991],95.02 [85;100],815228.0 [745370;850176],4.0 [0;9],8.0 [0;18],154762.67 [53292;206515]
Unicycler,Multiple k-mer De Bruijn graph,0.0 [0;0],Genomic,30386095.0 [30263458;30592960],829.0 [656;936],0.0 [0;0],30238046.0 [30093081;30432114],400.67 [334;443],92.78 [81;98],215142.33 [191424;245050],93.83 [82;99],1011197.0 [847534;1303875],0.67 [0;2],1.33 [0;4],213645.67 [191424;245050]
VelvetOptimiser,Multiple k-mer De Bruijn graph,4510.78 [105;8788],Metagenomic,38311849.11 [30526291;57130377],202648.22 [10924;652127],4222.0 [0;8283],18993730.33 [13883;28485306],2018.22 [13;3035],61.81 [0;93],23014.78 [1039;34664],65.2 [1;97],565656.67 [1157;847809],4.67 [0;8],7.33 [0;11],19905.89 [85;30453]
