Assembler,Algorithm,Type,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,Single k-mer De Bruijn graph,Genomic,9.0 [9.0;9.0],0.24 [0.24;0.24],351141.0 [351141.0;351141.0],351141.0 [351141.0;351141.0],0.0 [0.0;0.0],2957080.0 [2957080.0;2957080.0],0.99 [0.99;0.99],15.0 [15.0;15.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.01 [1.01;1.01],1.01 [1.01;1.01],1.0 [1.0;1.0]
BCALM2,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],1240.0 [1240.0;1240.0],0.0 [0.0;0.0],0.0 [0.0;0.0],461795.0 [461795.0;461795.0],0.15 [0.15;0.15],359.0 [359.0;359.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,Metagenomic,10.0 [10.0;10.0],0.21 [0.21;0.21],351186.0 [351186.0;351186.0],351186.0 [351186.0;351186.0],0.0 [0.0;0.0],2931097.0 [2919252.0;2954741.0],0.98 [0.98;0.99],19.33 [19.0;20.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
IDBA-UD,Multiple k-mer De Bruijn graph,Metagenomic,13.0 [13.0;13.0],0.16 [0.16;0.16],254629.0 [254629.0;254629.0],254629.0 [254629.0;254629.0],0.0 [0.0;0.0],2916725.0 [2916725.0;2916725.0],0.97 [0.97;0.97],25.0 [25.0;25.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MEGAHIT,Multiple k-mer De Bruijn graph,Metagenomic,8.0 [8.0;8.0],0.21 [0.21;0.21],447852.0 [447852.0;447852.0],447852.0 [447852.0;447852.0],0.0 [0.0;0.0],2937129.67 [2925257.0;2960744.0],0.98 [0.98;0.99],19.33 [19.0;20.0],0.99 [0.99;0.99],0.87 [0.87;0.87],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MetaHipMer2,Multiple k-mer De Bruijn graph,Metagenomic,13.0 [13.0;13.0],0.16 [0.16;0.16],254627.0 [254627.0;254627.0],254627.0 [254627.0;254627.0],0.0 [0.0;0.0],2937642.33 [2913927.0;2949500.0],0.98 [0.97;0.99],21.67 [21.0;22.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
metaSPAdes,Multiple k-mer De Bruijn graph,Metagenomic,6.0 [6.0;6.0],0.31 [0.31;0.31],475510.0 [475510.0;475510.0],475510.0 [475510.0;475510.0],0.0 [0.0;0.0],2961206.0 [2961206.0;2961206.0],0.99 [0.99;0.99],13.0 [13.0;13.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MINIA,Single k-mer De Bruijn graph,Genomic,74.0 [72.0;75.0],0.05 [0.05;0.05],46368.0 [46368.0;46368.0],44353.0 [44353.0;44353.0],0.0 [0.0;0.0],2894602.0 [2882699.0;2918408.0],0.97 [0.96;0.98],127.33 [127.0;128.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SKESA,Multiple k-mer De Bruijn graph,Genomic,11.0 [11.0;11.0],0.21 [0.21;0.21],351014.0 [351014.0;351014.0],351014.0 [351014.0;351014.0],0.0 [0.0;0.0],2911821.0 [2911821.0;2911821.0],0.97 [0.97;0.97],19.0 [19.0;19.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SPAdes,Multiple k-mer De Bruijn graph,Genomic,10.0 [10.0;10.0],0.18 [0.18;0.18],255092.0 [255092.0;255092.0],255092.0 [255092.0;255092.0],0.0 [0.0;0.0],2957750.0 [2957750.0;2957750.0],0.99 [0.99;0.99],20.0 [20.0;20.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
Unicycler,Multiple k-mer De Bruijn graph,Genomic,9.0 [9.0;9.0],0.21 [0.21;0.21],350996.0 [350996.0;350996.0],350996.0 [350996.0;350996.0],0.0 [0.0;0.0],2953581.0 [2953581.0;2953581.0],0.99 [0.99;0.99],16.0 [16.0;16.0],1.0 [1.0;1.0],0.97 [0.97;0.97],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
VelvetOptimiser,Multiple k-mer De Bruijn graph,Metagenomic,74.0 [74.0;74.0],0.05 [0.05;0.05],44320.0 [44320.0;44320.0],44320.0 [44320.0;44320.0],0.0 [0.0;0.0],2916426.0 [2916426.0;2916426.0],0.97 [0.97;0.97],125.0 [125.0;125.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
