Assembler,Type,Algorithm,LSA,breadth_of_coverage,multiplicity,validity,parsimony,identity,lowest_identity,L90,contigs,NA50,NG50,basepairs,Ns,misassembled contigs,misassembly events
ABySS,Genomic,Single k-mer De Bruijn graph,0.07 [0;0],0.44 [0;0],0.45 [0;1],0.44 [0;1],0.45 [0;1],0.44 [0;0],0.44 [0;0],10.28 [0;64],18.72 [0;108],85110.11 [0;241090],85110.11 [0;241090],1253759.06 [0;2828460],0.0 [0;0],0.0 [0;0],0.0 [0;0]
GATBMiniaPipeline,Metagenomic,Multiple k-mer De Bruijn graph,0.09 [0;0],0.49 [0;0],0.5 [0;1],0.5 [0;1],0.5 [0;1],0.5 [0;1],0.5 [0;1],9.17 [0;24],18.72 [0;46],90473.67 [0;235254],90473.67 [0;235254],1399319.44 [0;2820351],0.0 [0;0],0.17 [0;1],0.33 [0;2]
IDBA-UD,Metagenomic,Multiple k-mer De Bruijn graph,0.05 [0;0],0.49 [0;0],0.5 [0;1],0.5 [0;0],0.5 [0;1],0.5 [0;0],0.46 [0;0],32.83 [0;147],56.5 [0;231],40787.83 [0;113206],41848.0 [0;118897],1399632.5 [0;2811602],0.0 [0;0],0.5 [0;3],1.0 [0;6]
MEGAHIT,Metagenomic,Multiple k-mer De Bruijn graph,0.11 [0;0],0.49 [0;0],0.5 [0;1],0.5 [0;0],0.5 [0;1],0.5 [0;0],0.48 [0;0],7.17 [0;17],16.22 [0;35],117668.83 [0;235381],118207.17 [0;238546],1401038.44 [0;2822833],0.0 [0;0],0.33 [0;1],0.67 [0;2]
MetaHipMer2,Metagenomic,Multiple k-mer De Bruijn graph,0.05 [0;0],0.34 [0;0],0.67 [0;1],0.67 [0;1],0.67 [0;1],0.67 [0;1],0.67 [0;1],9.0 [0;27],45.5 [0;179],40177.67 [0;118895],38950.33 [0;118895],968651.56 [0;2811369],0.0 [0;0],0.0 [0;0],0.0 [0;0]
metaSPAdes,Metagenomic,Multiple k-mer De Bruijn graph,0.08 [0;0],0.49 [0;0],0.5 [0;1],0.5 [0;1],0.5 [0;1],0.5 [0;0],0.49 [0;0],7.5 [0;25],15.83 [0;51],103377.17 [0;238611],103377.17 [0;238611],1403137.67 [0;2818677],0.0 [0;0],0.17 [0;1],0.33 [0;2]
MINIA,Genomic,Single k-mer De Bruijn graph,0.02 [0;0],0.49 [0;0],0.83 [0;1],0.83 [0;1],0.83 [0;1],0.83 [0;1],0.83 [0;1],59.22 [0;149],93.44 [0;222],16110.22 [0;30453],13448.5 [0;30453],1383950.39 [0;2770364],0.0 [0;0],0.0 [0;0],0.0 [0;0]
SKESA,Genomic,Multiple k-mer De Bruijn graph,0.06 [0;0],0.49 [0;0],0.83 [0;1],0.83 [0;1],0.84 [0;1],0.83 [0;1],0.69 [0;1],15.17 [0;42],28.67 [0;72],53656.0 [0;152709],52892.83 [0;152709],1403535.67 [0;2810284],0.0 [0;0],0.33 [0;1],0.33 [0;1]
SPAdes,Genomic,Multiple k-mer De Bruijn graph,0.1 [0;0],0.49 [0;0],0.88 [0;1],0.79 [0;1],0.96 [0;1],0.79 [0;1],0.75 [0;1],8.17 [0;25],21.33 [0;63],97323.67 [0;239100],95417.17 [0;239100],1401922.33 [0;2812518],0.0 [0;0],1.5 [0;6],2.33 [0;8]
Unicycler,Genomic,Multiple k-mer De Bruijn graph,0.13 [0;0],0.49 [0;0],0.5 [0;0],0.5 [0;1],0.5 [0;0],0.5 [0;0],0.5 [0;0],5.17 [0;14],11.67 [0;30],141763.17 [0;377104],133592.0 [0;377104],1401639.33 [0;2813747],0.0 [0;0],0.0 [0;0],0.0 [0;0]
VelvetOptimiser,Genomic,Multiple k-mer De Bruijn graph,0.01 [0;0],0.32 [0;0],0.39 [0;1],0.39 [0;1],0.39 [0;1],0.39 [0;1],0.39 [0;1],34.5 [0;106],53.72 [0;163],10240.61 [0;30453],9936.67 [0;30453],912470.11 [0;2736286],0.0 [0;0],0.0 [0;0],0.0 [0;0]
