Assembler,Type,Algorithm,LSA,breadth_of_coverage,multiplicity,validity,parsimony,identity,lowest_identity,L90,contigs,NA50,NG50,basepairs,Ns,misassembled contigs,misassembly events
ABySS,Genomic,Single k-mer De Bruijn graph,0.02 [0;0],0.44 [0;0],0.45 [0;1],0.44 [0;0],0.45 [0;1],0.44 [0;0],0.38 [0;0],41.61 [0;133],74.5 [0;234],29027.44 [0;100101],28872.39 [0;100101],2083932.22 [0;4706885],7.5 [0;45],0.0 [0;0],0.0 [0;0]
GATBMiniaPipeline,Metagenomic,Multiple k-mer De Bruijn graph,0.01 [0;0],0.49 [0;0],0.67 [0;1],0.67 [0;1],0.67 [0;1],0.66 [0;0],0.66 [0;0],51.83 [0;112],94.5 [0;199],29281.5 [0;59656],28975.17 [0;59530],2312992.06 [0;4632389],0.0 [0;0],0.0 [0;0],0.0 [0;0]
IDBA-UD,Metagenomic,Multiple k-mer De Bruijn graph,0.01 [0;0],0.48 [0;0],1.0 [0;1],0.84 [0;1],1.8 [1;5],0.95 [0;0],0.48 [0;0],124.67 [0;283],210.83 [2;449],15605.67 [1146;30548],9954.67 [0;22537],2270877.89 [2287;4589511],0.0 [0;0],3.33 [0;8],5.83 [0;15]
MEGAHIT,Metagenomic,Multiple k-mer De Bruijn graph,0.03 [0;0],0.49 [0;0],1.0 [0;1],0.99 [0;0],1.01 [0;1],0.99 [0;0],0.91 [0;0],25.33 [0;55],71.67 [3;141],40434.5 [1049;90017],42017.0 [0;102135],2337438.83 [4237;4673019],0.0 [0;0],1.67 [0;4],2.83 [0;7]
MetaHipMer2,Metagenomic,Multiple k-mer De Bruijn graph,0.01 [0;0],0.33 [0;0],0.67 [0;1],0.67 [0;1],0.67 [0;1],0.67 [0;1],0.66 [0;1],36.17 [0;110],81.94 [0;193],19737.83 [0;59122],18857.67 [0;56794],1558955.78 [0;4613132],0.0 [0;0],0.0 [0;0],0.0 [0;0]
metaSPAdes,Metagenomic,Multiple k-mer De Bruijn graph,0.04 [0;0],0.49 [0;0],1.0 [0;1],0.98 [0;1],1.02 [0;1],0.98 [0;0],0.9 [0;0],27.0 [0;90],58.83 [3;167],52680.5 [1088;138793],51262.17 [0;138793],2330109.33 [4384;4666787],0.0 [0;0],0.67 [0;2],1.67 [0;6]
MINIA,Genomic,Single k-mer De Bruijn graph,0.01 [0;0],0.39 [0;0],0.5 [0;1],0.5 [0;1],0.5 [0;1],0.5 [0;0],0.49 [0;0],0.0 [0;0],565.17 [0;1147],2223.61 [0;4469],1580.94 [0;3211],1881987.78 [0;3773077],0.0 [0;0],0.0 [0;0],0.0 [0;0]
SKESA,Genomic,Multiple k-mer De Bruijn graph,0.01 [0;0],0.48 [0;0],0.5 [0;1],0.5 [0;0],0.5 [0;1],0.5 [0;0],0.35 [0;0],58.5 [0;152],109.83 [0;270],23262.17 [0;62623],23608.17 [0;66235],2285930.83 [0;4579934],0.0 [0;0],0.83 [0;3],1.33 [0;4]
SPAdes,Genomic,Multiple k-mer De Bruijn graph,0.04 [0;0],0.49 [0;0],0.99 [0;1],0.96 [0;0],1.04 [0;1],0.96 [0;0],0.73 [0;0],28.83 [0;79],64.67 [4;143],42513.83 [1094;98812],41864.5 [0;96999],2322370.5 [6019;4643850],0.0 [0;0],0.83 [0;3],1.5 [0;5]
Unicycler,Genomic,Multiple k-mer De Bruijn graph,0.04 [0;0],0.48 [0;0],0.5 [0;1],0.5 [0;1],0.5 [0;1],0.5 [0;0],0.5 [0;0],22.67 [0;57],46.83 [0;111],54515.0 [0;124073],53391.0 [0;119183],2309275.33 [0;4632276],0.0 [0;0],0.17 [0;1],0.33 [0;2]
VelvetOptimiser,Genomic,Multiple k-mer De Bruijn graph,0.0 [0;0],0.27 [0;0],0.5 [0;1],0.49 [0;1],0.51 [0;1],0.47 [0;1],0.44 [0;1],0.0 [0;0],368.61 [0;1098],1736.39 [0;4598],1116.33 [0;3363],1272661.33 [0;3810326],774.44 [0;6970],0.33 [0;3],0.67 [0;6]
