Assembler,Algorithm,Type,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.41 [0.0;0.62],918.67 [0.0;1378.0],918.67 [0.0;1378.0],0.0 [0.0;0.0],918.67 [0.0;1378.0],0.41 [0.0;0.62],0.67 [0.0;1.0],0.67 [0.0;1.0],0.67 [0.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.67 [0.0;1.0],0.67 [0.0;1.0],0.67 [0.0;1.0]
BCALM2,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],1.08 [1.07;1.08],2385.0 [2369.0;2397.0],2385.0 [2369.0;2397.0],0.0 [0.0;0.0],2216.0 [2216.0;2216.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.08 [1.07;1.08],1.08 [1.07;1.08],1.0 [1.0;1.0]
IDBA-UD,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],1.04 [1.04;1.04],2315.0 [2315.0;2315.0],2315.0 [2315.0;2315.0],0.0 [0.0;0.0],2216.0 [2216.0;2216.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.04 [1.04;1.04],1.04 [1.04;1.04],1.0 [1.0;1.0]
MEGAHIT,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],1.06 [1.06;1.06],2357.0 [2357.0;2357.0],2357.0 [2357.0;2357.0],0.0 [0.0;0.0],2216.0 [2216.0;2216.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.06 [1.06;1.06],1.06 [1.06;1.06],1.0 [1.0;1.0]
MetaHipMer2,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0]
metaSPAdes,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],1.02 [1.02;1.02],2271.0 [2271.0;2271.0],2271.0 [2271.0;2271.0],0.0 [0.0;0.0],2216.0 [2216.0;2216.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.02 [1.02;1.02],1.02 [1.02;1.02],1.0 [1.0;1.0]
MINIA,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0]
SKESA,Multiple k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.9 [0.9;0.9],2005.0 [2005.0;2005.0],2005.0 [2005.0;2005.0],0.0 [0.0;0.0],2005.0 [2005.0;2005.0],0.9 [0.9;0.9],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SPAdes,Multiple k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.88 [0.88;0.88],1961.0 [1961.0;1961.0],1961.0 [1961.0;1961.0],0.0 [0.0;0.0],1961.0 [1961.0;1961.0],0.88 [0.88;0.88],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
Unicycler,Multiple k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],1.0 [1.0;1.0],2216.0 [2216.0;2216.0],2216.0 [2216.0;2216.0],0.0 [0.0;0.0],2216.0 [2216.0;2216.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
