Assembler,Algorithm,Type,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.07 [0.07;0.07],2402.0 [2402.0;2402.0],1304.0 [1304.0;1304.0],204.0 [204.0;204.0],60476.0 [60476.0;60476.0],0.55 [0.55;0.55],26.0 [26.0;26.0],0.99 [0.99;0.99],0.95 [0.95;0.95],0.0 [0.0;0.0],0.0 [0.0;0.0],1.01 [1.01;1.01],1.01 [1.01;1.01],1.0 [1.0;1.0]
BCALM2,Single k-mer De Bruijn graph,Genomic,18.0 [18.0;18.0],0.13 [0.13;0.13],7117.0 [7117.0;7117.0],6638.0 [6638.0;6638.0],0.0 [0.0;0.0],102586.0 [102586.0;102586.0],0.93 [0.93;0.93],21.0 [21.0;21.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,Metagenomic,7.0 [7.0;7.0],0.19 [0.19;0.19],18762.0 [18762.0;18762.0],18762.0 [18762.0;18762.0],0.0 [0.0;0.0],105303.0 [105303.0;105303.0],0.96 [0.96;0.96],10.0 [10.0;10.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
IDBA-UD,Multiple k-mer De Bruijn graph,Metagenomic,3.0 [3.0;3.0],0.33 [0.33;0.33],26780.0 [26780.0;26780.0],26780.0 [26780.0;26780.0],0.0 [0.0;0.0],105993.0 [105993.0;105993.0],0.96 [0.96;0.96],5.0 [5.0;5.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MEGAHIT,Multiple k-mer De Bruijn graph,Metagenomic,3.0 [3.0;3.0],0.37 [0.37;0.37],28353.0 [28353.0;28353.0],28353.0 [28353.0;28353.0],0.0 [0.0;0.0],107718.0 [107718.0;107718.0],0.98 [0.98;0.98],4.0 [4.0;4.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MetaHipMer2,Multiple k-mer De Bruijn graph,Metagenomic,3.0 [3.0;3.0],0.37 [0.37;0.37],28267.0 [28267.0;28267.0],28267.0 [28267.0;28267.0],0.0 [0.0;0.0],107495.0 [107495.0;107495.0],0.98 [0.98;0.98],5.0 [5.0;5.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
metaSPAdes,Multiple k-mer De Bruijn graph,Metagenomic,3.0 [3.0;3.0],0.37 [0.37;0.37],26814.0 [26814.0;26814.0],26814.0 [26814.0;26814.0],0.0 [0.0;0.0],106142.0 [106142.0;106142.0],0.96 [0.96;0.96],4.0 [4.0;4.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MINIA,Single k-mer De Bruijn graph,Genomic,17.0 [17.0;17.0],0.14 [0.14;0.14],7186.0 [7186.0;7186.0],6638.0 [6638.0;6638.0],0.0 [0.0;0.0],103510.0 [103510.0;103510.0],0.94 [0.94;0.94],21.0 [21.0;21.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SKESA,Multiple k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.04 [0.04;0.04],1404.0 [1404.0;1404.0],0.0 [0.0;0.0],0.0 [0.0;0.0],39927.0 [39927.0;39927.0],0.36 [0.36;0.36],26.0 [26.0;26.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SPAdes,Multiple k-mer De Bruijn graph,Genomic,3.0 [3.0;3.0],0.37 [0.37;0.37],26837.0 [26837.0;26837.0],26837.0 [26837.0;26837.0],0.0 [0.0;0.0],107620.0 [107620.0;107620.0],0.98 [0.98;0.98],5.0 [5.0;5.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
Unicycler,Multiple k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0]
VelvetOptimiser,Multiple k-mer De Bruijn graph,Metagenomic,3.0 [3.0;3.0],0.37 [0.37;0.37],27962.0 [27962.0;27962.0],27962.0 [27962.0;27962.0],194.0 [194.0;194.0],107301.0 [107301.0;107301.0],0.98 [0.98;0.98],4.0 [4.0;4.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
