Assembler,Type,Algorithm,LSA,breadth_of_coverage,multiplicity,validity,parsimony,identity,lowest_identity,L90,contigs,NA50,NG50,basepairs,Ns,misassembled contigs,misassembly events
ABySS,Genomic,Single k-mer De Bruijn graph,0.04 [0;0],0.59 [0;0],0.61 [0;1],0.61 [0;0],0.61 [0;1],0.61 [0;0],0.6 [0;0],181.17 [0;1033],205.39 [0;1141],104056.61 [0;295233],103994.17 [0;295233],2388582.56 [0;3991152],74.5 [0;400],0.0 [0;0],0.0 [0;0]
GATBMiniaPipeline,Metagenomic,Multiple k-mer De Bruijn graph,0.09 [0;0],0.98 [0;0],1.0 [1;1],1.0 [0;1],1.0 [1;1],1.0 [0;1],0.99 [0;1],114.67 [13;459],164.78 [27;604],149639.17 [8915;269695],147534.06 [8732;263445],3960227.94 [3882084;3984103],0.0 [0;0],0.61 [0;2],1.72 [0;6]
IDBA-UD,Metagenomic,Multiple k-mer De Bruijn graph,0.05 [0;0],0.98 [0;0],1.0 [1;1],1.0 [0;0],1.0 [1;1],1.0 [0;0],0.87 [0;0],92.83 [18;292],141.67 [34;418],111461.67 [14006;252653],104531.5 [13214;212969],3966844.72 [3925882;3977845],0.0 [0;0],0.67 [0;2],1.33 [0;5]
MEGAHIT,Metagenomic,Multiple k-mer De Bruijn graph,0.11 [0;0],0.98 [0;0],1.0 [0;1],1.0 [0;0],1.0 [0;1],1.0 [0;0],0.87 [0;0],38.67 [13;147],65.33 [27;223],205809.17 [26511;294549],206019.0 [26209;294549],3983673.11 [3969756;3989518],0.0 [0;0],0.67 [0;2],1.5 [0;4]
MetaHipMer2,Metagenomic,Multiple k-mer De Bruijn graph,0.03 [0;0],0.48 [0;0],0.67 [0;1],0.67 [0;1],0.67 [0;1],0.67 [0;1],0.65 [0;1],5.17 [0;16],273.72 [0;1412],86472.67 [0;257424],86230.83 [0;257424],1946297.72 [0;3976387],0.0 [0;0],0.0 [0;0],0.0 [0;0]
metaSPAdes,Metagenomic,Multiple k-mer De Bruijn graph,0.12 [0;0],0.98 [0;0],1.0 [0;1],1.0 [0;1],1.0 [0;1],1.0 [0;0],0.98 [0;0],32.83 [9;66],59.83 [18;110],176771.5 [61490;343843],176303.17 [62046;343843],3977850.17 [3971865;3987932],0.0 [0;0],0.67 [0;2],2.0 [0;6]
MINIA,Genomic,Single k-mer De Bruijn graph,0.02 [0;0],0.97 [0;0],1.0 [1;1],1.0 [0;1],1.0 [1;1],1.0 [0;1],1.0 [0;1],193.56 [66;649],278.72 [116;783],40199.39 [6662;65138],39611.11 [6313;64960],3928089.67 [3821823;3953200],0.0 [0;0],0.67 [0;2],1.17 [0;4]
SKESA,Genomic,Multiple k-mer De Bruijn graph,0.05 [0;0],0.49 [0;0],0.5 [0;1],0.5 [0;1],0.5 [0;1],0.5 [0;1],0.5 [0;1],8.5 [0;20],15.0 [0;34],121213.83 [0;269493],120159.0 [0;263164],1984918.17 [0;3971432],0.0 [0;0],0.0 [0;0],0.0 [0;0]
SPAdes,Genomic,Multiple k-mer De Bruijn graph,0.14 [0;0],0.98 [0;0],1.0 [0;1],1.0 [0;1],1.0 [0;1],1.0 [0;0],0.99 [0;0],26.67 [11;72],49.17 [22;116],219517.17 [56470;315090],227769.17 [54127;315090],3974878.67 [3964395;3982668],0.0 [0;0],0.33 [0;2],0.83 [0;5]
Unicycler,Genomic,Multiple k-mer De Bruijn graph,0.11 [0;0],0.73 [0;0],0.83 [0;1],0.83 [0;1],0.83 [0;1],0.83 [0;1],0.83 [0;1],29.33 [0;143],43.67 [0;179],184150.0 [0;324887],162360.5 [0;324887],2962105.17 [0;3975910],0.0 [0;0],0.0 [0;0],0.0 [0;0]
VelvetOptimiser,Genomic,Multiple k-mer De Bruijn graph,0.04 [0;0],0.55 [0;0],0.83 [0;1],0.83 [0;1],0.83 [0;1],0.83 [0;1],0.8 [0;1],21.72 [0;63],252.61 [0;1254],56639.61 [0;295224],55459.17 [0;295224],2233084.22 [0;3969593],932.89 [0;8396],0.33 [0;3],0.89 [0;8]
