Assembler,Type,Algorithm,LSA,breadth_of_coverage,multiplicity,validity,parsimony,identity,lowest_identity,L90,contigs,NA50,NG50,basepairs,Ns,misassembled contigs,misassembly events
ABySS,Genomic,Single k-mer De Bruijn graph,0.03 [0;0],0.61 [0;0],0.79 [0;1],0.78 [0;0],0.79 [0;1],0.78 [0;0],0.7 [0;0],198.44 [0;1004],318.67 [0;1404],63077.94 [0;245341],62973.39 [0;245341],4128542.33 [0;6781605],411.33 [0;2170],1.56 [0;8],2.61 [0;14]
GATBMiniaPipeline,Metagenomic,Multiple k-mer De Bruijn graph,0.06 [0;0],0.99 [0;0],1.0 [1;1],1.0 [0;1],1.0 [1;1],1.0 [0;1],0.98 [0;1],54.0 [36;78],123.67 [98;166],153155.33 [88774;211558],152068.33 [88774;211019],6692178.83 [6646876;6716522],0.0 [0;0],0.5 [0;3],1.0 [0;6]
IDBA-UD,Metagenomic,Multiple k-mer De Bruijn graph,0.05 [0;0],0.99 [0;0],1.0 [1;1],1.0 [0;1],1.0 [1;1],1.0 [0;0],0.93 [0;0],65.72 [48;90],147.17 [119;185],116371.67 [84458;171408],113305.83 [83502;171408],6699564.33 [6694930;6710005],0.0 [0;0],0.67 [0;2],1.0 [0;4]
MEGAHIT,Metagenomic,Multiple k-mer De Bruijn graph,0.07 [0;0],0.99 [0;0],1.0 [1;1],1.0 [0;1],1.0 [1;1],1.0 [0;0],0.97 [0;0],28.5 [24;31],80.0 [75;82],249067.0 [215542;286027],250523.0 [215542;294763],6733114.83 [6729202;6738936],0.0 [0;0],0.17 [0;1],0.33 [0;2]
MetaHipMer2,Metagenomic,Multiple k-mer De Bruijn graph,0.02 [0;0],0.42 [0;0],0.67 [0;1],0.67 [0;1],0.67 [0;1],0.67 [0;1],0.66 [0;1],13.17 [0;42],446.39 [0;2402],67000.22 [0;211554],66637.67 [0;211015],2881048.44 [0;6717767],0.0 [0;0],0.0 [0;0],0.0 [0;0]
metaSPAdes,Metagenomic,Multiple k-mer De Bruijn graph,0.11 [0;0],0.99 [0;0],1.0 [1;1],1.0 [0;1],1.0 [1;1],1.0 [0;0],0.98 [0;0],28.83 [24;44],66.0 [56;100],233032.0 [151807;285156],227763.83 [151807;257869],6727728.33 [6721688;6733500],0.0 [0;0],0.0 [0;0],0.0 [0;0]
MINIA,Genomic,Single k-mer De Bruijn graph,0.02 [0;0],0.96 [0;0],1.0 [1;1],1.0 [0;1],1.0 [1;1],1.0 [0;0],0.99 [0;0],331.28 [291;407],512.33 [463;598],22397.11 [18690;24665],21749.89 [17851;24029],6511063.78 [6489664;6524120],0.0 [0;0],0.0 [0;0],0.0 [0;0]
SKESA,Genomic,Multiple k-mer De Bruijn graph,0.01 [0;0],0.61 [0;0],0.83 [0;1],0.83 [0;1],0.83 [0;1],0.83 [0;1],0.55 [0;1],150.33 [0;670],725.67 [0;1877],27273.5 [0;111919],25897.0 [0;106185],4168794.0 [0;6673601],0.0 [0;0],4.17 [0;12],8.33 [0;23]
SPAdes,Genomic,Multiple k-mer De Bruijn graph,0.09 [0;0],0.99 [0;0],1.0 [0;1],1.0 [0;1],1.0 [0;1],1.0 [0;0],0.98 [0;0],39.0 [26;60],86.83 [63;129],196889.67 [122703;264371],196889.67 [122703;264371],6709742.5 [6682762;6728888],0.0 [0;0],0.5 [0;2],0.83 [0;3]
Unicycler,Genomic,Multiple k-mer De Bruijn graph,0.12 [0;0],0.98 [0;0],1.0 [0;1],1.0 [0;1],1.0 [0;1],1.0 [0;1],0.95 [0;1],23.5 [20;25],66.67 [54;77],276662.33 [256472;337495],281773.67 [239075;337495],6685541.83 [6551562;6723626],0.0 [0;0],0.83 [0;5],1.67 [0;10]
VelvetOptimiser,Genomic,Multiple k-mer De Bruijn graph,0.04 [0;0],0.48 [0;0],0.67 [0;1],0.67 [0;1],0.67 [0;1],0.66 [0;1],0.61 [0;1],6.94 [0;19],207.0 [0;1988],130279.0 [0;338923],171680.83 [0;464977],3264240.56 [0;6708956],4276.44 [0;12098],3.0 [0;8],4.89 [0;11]
