Assembler,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events
ABySS,0.022872121937538372,49818.0,49799.0,0.0,6709693.0,0.9878337772163602,0.0,0.9985087413450525,0.9582384206529992,0.0,0.0
BCALM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GATBMiniaPipeline,0.06852729475746909,204691.0,204691.0,0.0,6705175.0,0.9871686151880136,102.0,0.998500608585982,0.9207082371054658,0.0,0.0
IDBA-UD,0.04465757700229524,88071.0,85510.0,0.0,6710005.0,0.9878797113803364,185.0,0.9984466424598432,0.9236159775753329,0.0,0.0
MEGAHIT,0.06901181185248656,286027.0,294763.0,0.0,6737986.0,0.9919992108746188,78.0,0.9949629245295745,0.8762962962962964,1.0,2.0
MetaHipMer2,0.00031638627687406235,1144.0,0.0,0.0,99263.0,0.014613983713983272,81.0,1.0,1.0,0.0,0.0
metaSPAdes,0.05485466695522744,151807.0,151807.0,0.0,6721688.0,0.9895997397064041,100.0,0.9993179551595481,0.9877845641310383,0.0,0.0
MINIA,0.012415327288279574,18832.0,17958.0,0.0,6490289.0,0.9555320486489909,596.0,0.9995334627250139,0.9739382239382239,0.0,0.0
SKESA,0.049408082351711416,111919.0,106185.0,0.0,6669711.0,0.9819474318827266,117.0,0.9991343833283526,0.9030154849225754,0.0,0.0
SPAdes,0.10973642328921003,173647.0,173647.0,0.0,6718282.0,0.9890982917496647,79.0,0.9991734343534022,0.9736077481840194,0.0,0.0
Unicycler,0.12480444854711123,264930.0,264930.0,0.0,6714004.0,0.9884684636936073,65.0,0.9994750251450405,0.9914658634538153,0.0,0.0
VelvetOptimiser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
