Assembler,Type,Algorithm,LSA,breadth_of_coverage,multiplicity,validity,parsimony,identity,lowest_identity,L90,contigs,NA50,NG50,basepairs,Ns,misassembled contigs,misassembly events
ABySS,Genomic,Single k-mer De Bruijn graph,0.03 [0;0],0.43 [0;0],0.45 [0;1],0.44 [0;1],0.45 [0;1],0.44 [0;0],0.44 [0;0],25.67 [0;106],39.22 [0;137],16339.0 [0;42368],16202.39 [0;42368],819383.72 [0;1873053],0.0 [0;0],0.0 [0;0],0.0 [0;0]
GATBMiniaPipeline,Metagenomic,Multiple k-mer De Bruijn graph,0.03 [0;0],0.47 [0;0],0.67 [0;1],0.67 [0;1],0.67 [0;1],0.67 [0;1],0.66 [0;1],27.0 [0;55],43.83 [0;89],20600.83 [0;40488],19628.5 [0;40151],898617.83 [0;1798516],0.0 [0;0],0.0 [0;0],0.0 [0;0]
IDBA-UD,Metagenomic,Multiple k-mer De Bruijn graph,0.03 [0;0],0.47 [0;0],0.67 [0;1],0.67 [0;1],0.67 [0;1],0.67 [0;0],0.66 [0;0],40.83 [0;131],58.33 [0;171],16478.5 [0;40364],15088.83 [0;37467],893587.83 [0;1790018],0.0 [0;0],0.0 [0;0],0.0 [0;0]
MEGAHIT,Metagenomic,Multiple k-mer De Bruijn graph,0.03 [0;0],0.47 [0;0],0.67 [0;1],0.66 [0;0],0.67 [0;1],0.66 [0;0],0.6 [0;0],21.33 [0;53],42.17 [0;88],22512.67 [0;46932],22771.33 [0;52972],904572.0 [0;1808544],0.0 [0;0],1.17 [0;3],2.61 [0;6]
MetaHipMer2,Metagenomic,Multiple k-mer De Bruijn graph,0.02 [0;0],0.31 [0;0],0.5 [0;1],0.5 [0;1],0.5 [0;1],0.5 [0;1],0.5 [0;1],18.17 [0;55],30.17 [0;87],13650.5 [0;40362],13355.67 [0;40067],597351.89 [0;1787622],0.0 [0;0],0.0 [0;0],0.0 [0;0]
metaSPAdes,Metagenomic,Multiple k-mer De Bruijn graph,0.03 [0;0],0.47 [0;0],0.83 [0;1],0.83 [0;1],0.84 [0;1],0.83 [0;0],0.83 [0;0],26.67 [0;64],43.0 [0;95],21950.17 [0;46069],19919.17 [0;45077],897401.17 [0;1796429],0.0 [0;0],0.17 [0;1],0.17 [0;1]
MINIA,Genomic,Single k-mer De Bruijn graph,0.01 [0;0],0.46 [0;0],0.67 [0;1],0.67 [0;1],0.67 [0;1],0.67 [0;1],0.66 [0;1],112.56 [0;263],126.39 [0;282],5516.33 [0;11293],4980.17 [0;10836],874001.06 [0;1754083],0.0 [0;0],0.0 [0;0],0.0 [0;0]
SKESA,Genomic,Multiple k-mer De Bruijn graph,0.03 [0;0],0.46 [0;0],0.5 [0;1],0.5 [0;1],0.5 [0;1],0.5 [0;1],0.5 [0;1],31.5 [0;69],44.33 [0;94],18663.17 [0;40164],17273.83 [0;39869],884721.83 [0;1776186],0.0 [0;0],0.0 [0;0],0.0 [0;0]
SPAdes,Genomic,Multiple k-mer De Bruijn graph,0.03 [0;0],0.47 [0;0],0.99 [0;1],0.99 [0;1],1.01 [1;1],0.98 [0;0],0.98 [0;0],30.17 [0;76],48.83 [1;109],20173.83 [1408;46123],18607.83 [0;45008],896092.5 [1368;1792828],0.0 [0;0],0.67 [0;4],1.33 [0;8]
Unicycler,Genomic,Multiple k-mer De Bruijn graph,0.03 [0;0],0.47 [0;0],0.5 [0;1],0.5 [0;1],0.5 [0;1],0.5 [0;1],0.5 [0;1],25.83 [0;55],39.33 [0;80],21802.33 [0;45959],20118.17 [0;40306],886936.83 [0;1775427],0.0 [0;0],0.0 [0;0],0.0 [0;0]
VelvetOptimiser,Genomic,Multiple k-mer De Bruijn graph,0.01 [0;0],0.31 [0;0],0.5 [0;1],0.49 [0;1],0.51 [0;1],0.48 [0;1],0.46 [0;1],67.5 [0;207],77.5 [0;235],4158.17 [0;11784],3680.17 [0;11122],584247.61 [0;1751517],95.89 [0;863],0.0 [0;0],0.0 [0;0]
