Assembler,contigs,basepairs,max_contig,n50,mapped_reads,Ns,misassembled contigs,misassembly events,filtered_contigs,filtered_basepairs,filtered_n50,filtered_Ns,filtered_mapped_reads
ABySS,1.0,0.0,0.24720796059838834,0.0007261367435640254,1.0,1.0,1.0,1.0,1.0,0.9906516347020755,0.2761879388164494,1.0,0.9733945856728005
GATBMiniaPipeline,0.9900021674011749,0.9398148493725658,0.6372840818716263,0.5334493062520896,0.9825071007992371,1.0,0.9333333333333333,0.935483870967742,0.8086978381096028,0.9876499789782958,0.5911588933467068,1.0,0.9926421344021026
IDBA-UD,0.9626466006072428,0.7147849292718451,0.25155016548643727,0.10966754429956536,0.9887354272635048,1.0,0.7333333333333334,0.7741935483870968,0.3328305681246858,0.9800914394857178,0.15219617184887999,1.0,0.9815825264570149
MEGAHIT,0.9618129847707649,0.6697593825128438,1.0,0.46132146439317956,0.9952612693979511,1.0,0.0,0.0,0.6362493715434892,0.9652569441664116,0.78277018555667,1.0,1.0
MetaHipMer2,0.964152666551813,0.4260307929918088,0.0024580395890330302,0.003442619525242394,0.3014837114541852,1.0,1.0,1.0,0.6711915535444948,0.05176373730647588,0.0061538783015713805,1.0,0.04793694506498934
metaSPAdes,0.885805745280345,0.4177699466503366,0.39248772016828115,0.22114259445001672,0.9964710364392809,1.0,0.8666666666666667,0.9032258064516129,0.5754147812971342,0.9670023062640155,0.4968081327315279,1.0,0.9904133255029711
MINIA,0.8740795491805556,0.6691360827609196,0.09781156522554006,0.03712178201270478,0.9530139097318359,1.0,1.0,1.0,0.0,0.9138055191675902,0.08321840521564694,1.0,0.8977699406979226
SKESA,0.997495447531293,0.9833096295885553,0.3700021312961349,0.4018513874958208,0.9601702914059734,1.0,1.0,1.0,0.7873303167420814,0.9762543442997446,0.40679329655633567,1.0,0.9719155376169296
SPAdes,0.926236113349524,0.4962496833657295,0.6181339299856781,0.27839769307923773,0.9950332233677577,1.0,0.4,0.4193548387096774,0.4849170437405732,0.9497767233588634,0.5187385071882313,1.0,0.9798948259974986
Unicycler,0.9983420307252272,0.9885729886788485,0.7315918625952552,1.0,0.9726904286908941,1.0,0.8666666666666667,0.8709677419354839,0.8931623931623932,0.9833754526791597,1.0,1.0,0.9850686773512454
VelvetOptimiser,0.0,0.31841895844604773,0.0014114653780479816,0.00048583249749247745,0.036920524512594484,0.0,1.0,1.0,0.9967320261437909,0.001781682742591273,0.00582998996990973,1.0,8.979542033737794e-05
