Assembler,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,47.0,0.06548341535541677,53240.0,53240.0,0.0,2682579.0,0.9866848365811136,78.0,0.9996056392743665,0.9913644214162349,0.0,0.0,1.005349284605434,1.0054197631547839,0.9999299013686295
BCALM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GATBMiniaPipeline,33.0,0.10641096374108976,90967.0,90967.0,0.0,2676423.0,0.9844205857038819,53.0,0.9999846574560899,0.999482936918304,0.0,0.0,1.000735683410283,1.000735683410283,1.0
IDBA-UD,112.0,0.02705809223254548,26537.0,26420.0,0.0,2664638.0,0.9800859208909879,174.0,0.9993763435776938,0.9585853885528153,0.0,0.0,1.003778749683822,1.0039652665765482,0.9998142197753891
MEGAHIT,15.0,0.152904611627274,112741.0,151247.0,0.0,2680839.0,0.9860448436431046,43.0,0.9884586332490771,0.5799056048614697,3.0,6.0,1.0005449786428802,1.013883340252809,0.9868442836760658
MetaHipMer2,0.0,0.0009618284671801322,1221.0,0.0,0.0,304424.0,0.11197081043703426,242.0,0.9999634963828234,0.990983606557377,0.0,0.0,1.0013172417417813,1.0013533755551467,0.99996391502316
metaSPAdes,30.0,0.0831045542485968,76042.0,76042.0,0.0,2673904.0,0.9834940671919022,49.0,0.9994949234320045,0.9840564558285415,0.0,0.0,1.0002905863486498,1.0003279848491196,0.99996261376165
MINIA,139.0,0.023957068979468733,23433.0,22986.0,0.0,2596281.0,0.9549433937280692,206.0,0.999936194722045,0.9931758530183727,0.0,0.0,1.000829648254561,1.0008385070799348,0.9999911485965908
SKESA,42.0,0.06682887177336894,53152.0,53048.0,0.0,2655523.0,0.9767333142071076,69.0,1.0,1.0,0.0,0.0,0.9999755227124751,0.9999755227124751,1.0
SPAdes,30.0,0.11371203260285863,73613.0,73613.0,0.0,2672951.0,0.9831435423241307,48.0,0.9999894495492737,0.9997692573933777,1.0,3.0,1.0004298619765195,1.0004298619765195,1.0
Unicycler,8.0,0.3093181500525971,370057.0,370057.0,0.0,2672308.0,0.9829070391866941,24.0,0.999999530037147,0.9999891908543819,1.0,2.0,0.9998458261547696,0.9998458261547696,1.0
VelvetOptimiser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
