Assembler,contigs,basepairs,max_contig,n50,mapped_reads,Ns,misassembled contigs,misassembly events,filtered_contigs,filtered_basepairs,filtered_n50,filtered_Ns,filtered_mapped_reads
ABySS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GATBMiniaPipeline,0.9946771256478498,0.4407149971012958,0.6888914798284459,0.2592022835850234,0.998825970643378,1.0,0.6,0.4,0.6490096729617687,0.4364874226679666,0.26129613961319215,1.0,0.9961940483753834
IDBA-UD,0.9944777872358767,0.4456604536067257,0.6888893005334914,0.30295960139818306,0.998965168109333,1.0,0.6,0.5,0.7383694150161215,0.4395032641240858,0.307737011682862,1.0,0.9976752115070706
MEGAHIT,0.9958677685950413,0.44733837692667044,0.6889296174901496,0.4881647280693508,1.0,1.0,1.0,1.0,0.8493781667434361,0.4417923049155631,0.4886803579211855,1.0,0.9996335491580968
MetaHipMer2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metaSPAdes,0.9886915857640048,0.4574756175858746,1.0,0.5505445450065095,0.999808583338017,1.0,0.8,0.7,0.9152464302164901,0.44182206587110884,0.5606007515091431,1.0,1.0
MINIA,0.8671759673300505,0.4955347095303272,0.17820421737159595,0.022012551741034166,0.9363679763395037,1.0,1.0,1.0,0.0,0.4175678888272881,0.03014582923820675,1.0,0.8436632228455021
SKESA,0.9998060491126747,0.09555367123360003,0.6886713710380418,1.0,0.9480087096031734,1.0,1.0,1.0,0.9903270382312298,0.09533823552173948,1.0,1.0,0.946672007017132
SPAdes,0.8327712349283998,0.5239540954871695,0.2872801091390913,0.13240576935677312,0.9816725127274352,1.0,0.8,0.8,0.29709811146936893,0.422915037448233,0.19759448703376092,1.0,0.7931584685144951
Unicycler,0.9985776934929478,0.43055310105763844,0.9235546915861781,0.5494961926005691,0.9967934297678621,1.0,0.0,0.0,0.8880700138185168,0.4302776264148289,0.5494961926005691,1.0,0.992005780606336
VelvetOptimiser,0.0,0.7187308248240751,0.019140747585341192,0.0004985371495639936,0.099449309897,1.0,1.0,1.0,0.6236757254721327,0.21655880824596263,0.006201802140576081,1.0,0.026324118686747056
