Assembler,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,61.0,0.055263387259119306,45769.0,45769.0,0.0,2813974.0,0.9889582876454281,106.0,0.9991533695317215,0.9693174702567313,0.0,0.0,1.0030253010591763,1.0032328358560223,0.9997931339670827
BCALM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GATBMiniaPipeline,18.0,0.19309606549818092,179847.0,179847.0,0.0,2820351.0,0.9911994551190135,38.0,0.9992770747546171,0.9734375,1.0,2.0,1.0009767553766433,1.000979987287816,0.999996812159698
IDBA-UD,147.0,0.032718163261863394,18985.0,18985.0,0.0,2808907.0,0.9871775136782559,231.0,0.9999332619791451,0.9891964888588791,0.0,0.0,1.0050201021251326,1.0050784878246235,0.9999419093133539
MEGAHIT,17.0,0.26493889066954573,235381.0,235381.0,0.0,2821373.0,0.9915586323431007,34.0,0.9968427537420738,0.9379727685325264,0.0,0.0,1.000409564497614,1.0007516459754635,0.9996625054139019
MetaHipMer2,0.0,0.0009144609951809803,1166.0,0.0,0.0,217732.0,0.0765209152201173,171.0,1.0,1.0,0.0,0.0,1.0001423768669742,1.0001423768669742,1.0
metaSPAdes,25.0,0.07879511856362849,143041.0,143041.0,0.0,2813709.0,0.9888651546078713,51.0,0.9982891624944286,0.9516129032258065,1.0,2.0,1.0092678382874705,1.0093293229683666,0.9999390836276157
MINIA,147.0,0.022230328896686292,20366.0,19908.0,0.0,2751014.0,0.9668312837036163,217.0,0.9998992874685523,0.9938271604938271,0.0,0.0,1.0010199875391401,1.0010843274516232,0.9999436999926152
SKESA,42.0,0.09176591485461405,76714.0,76714.0,0.0,2797241.0,0.9830775513532055,72.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
SPAdes,25.0,0.20897964146943548,104623.0,118250.0,0.0,2790451.0,0.9806912369192012,63.0,0.9999776533172712,0.9993199922284826,3.0,6.0,1.0369072956307064,1.0369105209157947,0.999996889524194
Unicycler,14.0,0.31019346367741246,234974.0,185947.0,0.0,2813747.0,0.9888785095340115,30.0,0.9999959587885858,0.999941906399591,0.0,0.0,0.9998436248888048,0.9998443356847648,0.9999992890933772
VelvetOptimiser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
