Assembler,Algorithm,Type,contigs,basepairs,max_contig,n50,mapped_reads,Ns,misassembled contigs,misassembly events,filtered_contigs,filtered_basepairs,filtered_n50,filtered_Ns,filtered_mapped_reads
ABySS,Single k-mer De Bruijn graph,Genomic,44619.67 [44619;44621],20132373.0 [20132244;20132631],851314.0 [851314;851314],9569.0 [9569;9569],99.85 [99;99],1345.67 [1345;1347],0.0 [0;0],0.0 [0;0],1211.33 [1211;1212],13573771.33 [13573734;13573790],192306.0 [192306;192306],400.0 [400;400],98.9 [98;98]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,Metagenomic,693.0 [693;693],13911109.33 [13910838;13911245],632215.0 [632215;632215],136741.0 [136741;136741],99.72 [99;99],0.0 [0;0],1.0 [1;1],3.0 [3;3],219.0 [219;219],13658336.0 [13658336;13658336],140561.0 [140561;140561],0.0 [0;0],98.81 [98;98]
IDBA-UD,Multiple k-mer De Bruijn graph,Metagenomic,1987.0 [1987;1987],14324862.33 [14324747;14324920],585610.0 [585610;585610],105808.0 [105808;105808],99.69 [99;99],0.0 [0;0],2.0 [2;2],2.0 [2;2],261.0 [261;261],13642314.0 [13642314;13642314],108043.0 [108043;108043],0.0 [0;0],98.95 [98;98]
MEGAHIT,Multiple k-mer De Bruijn graph,Metagenomic,1842.0 [1842;1842],14402555.0 [14402555;14402555],1080013.0 [1080013;1080013],203548.0 [203548;203548],99.77 [99;99],0.0 [0;0],1.0 [1;1],2.0 [2;2],172.0 [172;172],13704539.0 [13704539;13704539],210993.0 [210993;210993],0.0 [0;0],99.69 [99;99]
MetaHipMer2,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0],0.0 [0;0]
metaSPAdes,Multiple k-mer De Bruijn graph,Metagenomic,6700.0 [6700;6700],15514698.0 [15514698;15514698],850099.0 [850099;850099],220609.0 [220609;220609],99.8 [99;99],0.0 [0;0],1.0 [1;1],3.0 [3;3],139.0 [139;139],13692577.0 [13692577;13692577],239185.0 [239185;239185],0.0 [0;0],99.59 [99;99]
MINIA,Single k-mer De Bruijn graph,Genomic,15000.33 [15000;15001],16401048.67 [16401028;16401090],177038.0 [177038;177038],26474.0 [26474;26474],99.01 [99;99],0.0 [0;0],2.0 [2;2],4.0 [4;4],762.0 [762;762],13501499.33 [13501498;13501500],33550.0 [33550;33550],0.0 [0;0],97.53 [97;97]
SKESA,Multiple k-mer De Bruijn graph,Genomic,9514.0 [9514;9514],8202941.0 [8202941;8202941],59272.0 [59272;59272],1155.0 [1155;1155],95.1 [95;95],0.0 [0;0],12.0 [12;12],23.0 [23;23],1433.0 [1433;1433],4470092.0 [4470092;4470092],7385.0 [7385;7385],0.0 [0;0],91.77 [91;91]
SPAdes,Multiple k-mer De Bruijn graph,Genomic,7331.0 [7331;7331],15606257.0 [15606257;15606257],632639.0 [632639;632639],122703.0 [122703;122703],99.71 [99;99],0.0 [0;0],0.0 [0;0],0.0 [0;0],227.0 [227;227],13640340.0 [13640340;13640340],136684.0 [136684;136684],0.0 [0;0],99.59 [99;99]
Unicycler,Multiple k-mer De Bruijn graph,Genomic,185.0 [185;185],11719230.0 [11719230;11719230],847534.0 [847534;847534],242687.0 [242687;242687],99.23 [99;99],0.0 [0;0],0.0 [0;0],0.0 [0;0],112.0 [112;112],11691061.0 [11691061;11691061],242687.0 [242687;242687],0.0 [0;0],98.61 [98;98]
VelvetOptimiser,Multiple k-mer De Bruijn graph,Genomic,46900.0 [35804;69092],19556159.33 [19514935;19638608],570315.67 [15999;847474],79254.0 [520;118621],96.91 [93;98],133957.33 [4932;198470],8.0 [0;12],16.67 [0;25],1144.67 [209;3016],11568509.67 [7334025;13685752],141135.0 [2913;210246],18653.33 [0;27980],91.69 [79;97]
