Assembler,Algorithm,Type,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,Single k-mer De Bruijn graph,Genomic,8.0 [8.0;8.0],0.24 [0.24;0.24],351502.0 [351502.0;351502.0],351502.0 [351502.0;351502.0],1.0 [1.0;1.0],2961845.0 [2961845.0;2961845.0],0.99 [0.99;0.99],14.0 [14.0;14.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.01 [1.01;1.01],1.01 [1.01;1.01],1.0 [1.0;1.0]
BCALM2,Single k-mer De Bruijn graph,Genomic,74.0 [72.0;75.0],0.05 [0.05;0.05],46368.0 [46368.0;46368.0],44353.0 [44353.0;44353.0],0.0 [0.0;0.0],2893025.0 [2881122.0;2916831.0],0.97 [0.96;0.97],126.33 [126.0;127.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,Metagenomic,11.0 [11.0;11.0],0.21 [0.21;0.21],351140.0 [351140.0;351140.0],351140.0 [351140.0;351140.0],0.0 [0.0;0.0],2939323.67 [2915611.0;2951180.0],0.98 [0.97;0.99],19.67 [19.0;20.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
IDBA-UD,Multiple k-mer De Bruijn graph,Metagenomic,13.0 [13.0;13.0],0.2 [0.2;0.2],254629.0 [254629.0;254629.0],254629.0 [254629.0;254629.0],0.0 [0.0;0.0],2952356.0 [2952356.0;2952356.0],0.99 [0.99;0.99],26.0 [26.0;26.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MEGAHIT,Multiple k-mer De Bruijn graph,Metagenomic,8.0 [8.0;8.0],0.21 [0.21;0.21],447841.0 [447841.0;447841.0],447841.0 [447841.0;447841.0],0.0 [0.0;0.0],2949323.33 [2925683.0;2961173.0],0.99 [0.98;0.99],19.67 [19.0;20.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MetaHipMer2,Multiple k-mer De Bruijn graph,Metagenomic,13.0 [13.0;13.0],0.16 [0.16;0.16],193935.0 [193935.0;193935.0],193935.0 [193935.0;193935.0],0.0 [0.0;0.0],2926194.67 [2914337.0;2949910.0],0.98 [0.97;0.99],24.33 [24.0;25.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
metaSPAdes,Multiple k-mer De Bruijn graph,Metagenomic,9.0 [9.0;9.0],0.21 [0.21;0.21],351096.0 [351096.0;351096.0],351096.0 [351096.0;351096.0],0.0 [0.0;0.0],2923230.0 [2923230.0;2923230.0],0.98 [0.98;0.98],16.0 [16.0;16.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MINIA,Single k-mer De Bruijn graph,Genomic,75.0 [75.0;75.0],0.05 [0.05;0.05],46368.0 [46368.0;46368.0],44353.0 [44353.0;44353.0],0.0 [0.0;0.0],2882724.0 [2882724.0;2882724.0],0.96 [0.96;0.96],127.0 [127.0;127.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SKESA,Multiple k-mer De Bruijn graph,Genomic,12.0 [12.0;12.0],0.21 [0.21;0.21],351009.0 [351009.0;351009.0],351009.0 [351009.0;351009.0],0.0 [0.0;0.0],2910021.0 [2910021.0;2910021.0],0.97 [0.97;0.97],24.0 [24.0;24.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SPAdes,Multiple k-mer De Bruijn graph,Genomic,10.0 [10.0;10.0],0.18 [0.18;0.18],300425.0 [300425.0;300425.0],300425.0 [300425.0;300425.0],0.0 [0.0;0.0],2916832.0 [2916832.0;2916832.0],0.97 [0.97;0.97],16.0 [16.0;16.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
Unicycler,Multiple k-mer De Bruijn graph,Genomic,8.0 [8.0;8.0],0.24 [0.24;0.24],350995.0 [350995.0;350995.0],350995.0 [350995.0;350995.0],0.0 [0.0;0.0],2914588.0 [2914588.0;2914588.0],0.97 [0.97;0.97],16.0 [16.0;16.0],1.0 [1.0;1.0],0.97 [0.97;0.97],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
VelvetOptimiser,Multiple k-mer De Bruijn graph,Metagenomic,66.0 [66.0;66.0],0.05 [0.05;0.05],52654.0 [52654.0;52654.0],51199.0 [51199.0;51199.0],0.0 [0.0;0.0],2918755.0 [2918755.0;2918755.0],0.98 [0.98;0.98],116.0 [116.0;116.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
