Assembler,Algorithm,Type,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,Single k-mer De Bruijn graph,Genomic,13.0 [13.0;13.0],0.11 [0.11;0.11],295233.0 [295233.0;295233.0],295233.0 [295233.0;295233.0],0.0 [0.0;0.0],3989374.0 [3989374.0;3989374.0],0.99 [0.99;0.99],22.0 [22.0;22.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
BCALM2,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],2062.0 [2062.0;2062.0],1589.0 [1589.0;1589.0],0.0 [0.0;0.0],2844464.0 [2844464.0;2844464.0],0.7 [0.7;0.7],1467.0 [1467.0;1467.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,Metagenomic,13.0 [13.0;13.0],0.19 [0.19;0.19],263445.0 [263445.0;263445.0],263445.0 [263445.0;263445.0],0.0 [0.0;0.0],3984103.0 [3984103.0;3984103.0],0.98 [0.98;0.98],27.0 [27.0;27.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
IDBA-UD,Multiple k-mer De Bruijn graph,Metagenomic,18.0 [18.0;18.0],0.08 [0.08;0.08],212969.0 [212969.0;212969.0],212969.0 [212969.0;212969.0],0.0 [0.0;0.0],3977845.0 [3977845.0;3977845.0],0.98 [0.98;0.98],34.0 [34.0;34.0],1.0 [1.0;1.0],0.92 [0.92;0.92],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MEGAHIT,Multiple k-mer De Bruijn graph,Metagenomic,13.0 [13.0;13.0],0.19 [0.19;0.19],263586.0 [263586.0;263586.0],263586.0 [263586.0;263586.0],0.0 [0.0;0.0],3986471.0 [3986471.0;3986471.0],0.99 [0.99;0.99],27.0 [27.0;27.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],3.0 [3.0;3.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MetaHipMer2,Multiple k-mer De Bruijn graph,Metagenomic,16.0 [16.0;16.0],0.1 [0.1;0.1],257424.0 [257424.0;257424.0],257424.0 [257424.0;257424.0],0.0 [0.0;0.0],3976387.0 [3976387.0;3976387.0],0.98 [0.98;0.98],28.0 [28.0;28.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
metaSPAdes,Multiple k-mer De Bruijn graph,Metagenomic,11.0 [11.0;11.0],0.19 [0.19;0.19],307964.0 [307964.0;307964.0],307964.0 [307964.0;307964.0],0.0 [0.0;0.0],3981174.0 [3981174.0;3981174.0],0.98 [0.98;0.98],23.0 [23.0;23.0],1.0 [1.0;1.0],0.97 [0.97;0.97],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MINIA,Single k-mer De Bruijn graph,Genomic,66.0 [66.0;66.0],0.03 [0.03;0.03],65138.0 [65138.0;65138.0],64960.0 [64960.0;64960.0],0.0 [0.0;0.0],3953200.0 [3953200.0;3953200.0],0.98 [0.98;0.98],117.0 [117.0;117.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SKESA,Multiple k-mer De Bruijn graph,Genomic,14.0 [14.0;14.0],0.1 [0.1;0.1],269493.0 [269493.0;269493.0],263164.0 [263164.0;263164.0],0.0 [0.0;0.0],3971432.0 [3971432.0;3971432.0],0.98 [0.98;0.98],26.0 [26.0;26.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SPAdes,Multiple k-mer De Bruijn graph,Genomic,11.0 [11.0;11.0],0.19 [0.19;0.19],315090.0 [315090.0;315090.0],315090.0 [315090.0;315090.0],0.0 [0.0;0.0],3981330.0 [3981330.0;3981330.0],0.98 [0.98;0.98],22.0 [22.0;22.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
Unicycler,Multiple k-mer De Bruijn graph,Genomic,11.0 [11.0;11.0],0.19 [0.19;0.19],314937.0 [314937.0;314937.0],314937.0 [314937.0;314937.0],0.0 [0.0;0.0],3975910.0 [3975910.0;3975910.0],0.98 [0.98;0.98],20.0 [20.0;20.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
VelvetOptimiser,Multiple k-mer De Bruijn graph,Metagenomic,63.0 [63.0;63.0],0.05 [0.05;0.05],69010.0 [69010.0;69010.0],65138.0 [65138.0;65138.0],0.0 [0.0;0.0],3953382.0 [3953382.0;3953382.0],0.98 [0.98;0.98],113.0 [113.0;113.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
