Assembler,Algorithm,Type,contigs,basepairs,max_contig,n50,mapped_reads,Ns,misassembled contigs,misassembly events,filtered_contigs,filtered_basepairs,filtered_n50,filtered_Ns,filtered_mapped_reads
ABySS,Single k-mer De Bruijn graph,Genomic,331860.0 [0;497797],61139451.0 [0;91720949],198658.0 [0;298093],92.67 [0;139],56.42 [0;84],98.67 [0;149],1.33 [0;2],3.33 [0;6],800.33 [0;1205],20429844.33 [0;30657287],35189.0 [0;52869],4.0 [0;7],53.74 [0;80]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,Metagenomic,5398.33 [5397;5400],32809889.0 [32809112;32810830],768462.0 [768462;768462],102115.0 [102115;102115],83.14 [83;83],0.0 [0;0],1.0 [1;1],2.0 [2;2],761.0 [761;761],30564350.0 [30564302;30564396],113162.0 [113162;113162],0.0 [0;0],82.23 [82;82]
IDBA-UD,Multiple k-mer De Bruijn graph,Metagenomic,20182.33 [20164;20194],39776993.0 [39773020;39779384],303329.0 [303329;303329],20993.0 [20993;20993],83.67 [83;83],0.0 [0;0],4.0 [4;4],7.0 [7;7],2654.0 [2654;2654],31562689.67 [31562689;31562690],29134.0 [29134;29134],0.0 [0;0],81.31 [81;81]
MEGAHIT,Multiple k-mer De Bruijn graph,Metagenomic,20614.0 [20614;20614],41166407.0 [41166407;41166407],1205839.0 [1205839;1205839],88308.0 [88308;88308],84.22 [84;84],0.0 [0;0],15.0 [15;15],31.67 [31;32],1447.0 [1447;1447],32021766.0 [32021766;32021766],149841.0 [149841;149841],0.0 [0;0],82.83 [82;82]
MetaHipMer2,Multiple k-mer De Bruijn graph,Metagenomic,19356.0 [19351;19361],13179761.33 [13174826;13184199],2964.0 [2964;2964],658.67 [658;659],25.5 [25;25],0.0 [0;0],0.0 [0;0],0.0 [0;0],1309.0 [1308;1310],1600962.67 [1599587;1601911],1176.0 [1175;1178],0.0 [0;0],3.96 [3;3]
metaSPAdes,Multiple k-mer De Bruijn graph,Metagenomic,61644.0 [61644;61644],48964620.0 [48964620;48964620],473277.0 [473277;473277],42332.0 [42332;42332],84.33 [84;84],0.0 [0;0],2.0 [2;2],3.0 [3;3],1689.0 [1689;1689],31967753.0 [31967753;31967753],95101.0 [95101;95101],0.0 [0;0],82.04 [82;82]
MINIA,Single k-mer De Bruijn graph,Genomic,67991.0 [67974;68012],41186649.33 [41185696;41187744],117945.0 [117945;117945],7090.67 [7060;7106],80.65 [80;80],0.0 [0;0],0.0 [0;0],0.0 [0;0],3980.33 [3978;3983],28277982.0 [28276538;28279162],15886.33 [15817;15930],0.0 [0;0],74.36 [74;74]
SKESA,Multiple k-mer De Bruijn graph,Genomic,1352.0 [1352;1352],30430077.0 [30430077;30430077],446163.0 [446163;446163],76924.0 [76924;76924],81.25 [81;81],0.0 [0;0],0.0 [0;0],0.0 [0;0],846.0 [846;846],30211740.0 [30211740;30211740],77870.0 [77870;77870],0.0 [0;0],80.51 [80;80]
SPAdes,Multiple k-mer De Bruijn graph,Genomic,39819.0 [39819;39819],46535940.0 [46535940;46535940],745370.0 [745370;745370],53292.0 [53292;53292],84.2 [84;84],0.0 [0;0],9.0 [9;9],18.0 [18;18],2049.0 [2049;2049],32500826.0 [32500826;32500826],99299.0 [99299;99299],0.0 [0;0],81.17 [81;81]
Unicycler,Multiple k-mer De Bruijn graph,Genomic,895.0 [895;895],30592960.0 [30592960;30592960],882182.0 [882182;882182],191424.0 [191424;191424],82.31 [82;82],0.0 [0;0],2.0 [2;2],4.0 [4;4],425.0 [425;425],30432114.0 [30432114;30432114],191424.0 [191424;191424],0.0 [0;0],81.6 [81;81]
VelvetOptimiser,Multiple k-mer De Bruijn graph,Genomic,585951.67 [539817;652127],53882375.33 [52039194;57130377],1384.0 [1157;1702],88.67 [85;93],2.51 [1;3],361.33 [105;733],0.0 [0;0],0.0 [0;0],25.67 [13;48],28831.0 [13883;55137],1089.33 [1039;1116],0.0 [0;0],0.0 [0;0]
