Assembler,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,147.0,0.029630637139738708,21261.0,20173.0,0.0,2946717.0,0.9847527455083677,226.0,0.99991531659189,0.9885057471264368,0.0,0.0,1.0032836543176695,1.0032884053677364,0.9999952645221041
BCALM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GATBMiniaPipeline,12.0,0.18146221254121353,254631.0,254631.0,0.0,2953848.0,0.9871358287254599,26.0,0.9994042123659526,0.9845276872964169,0.0,0.0,1.000120859299463,1.0001272915871093,0.9999935685310254
IDBA-UD,9.0,0.2112769863872512,475377.0,475377.0,0.0,2956080.0,0.9878817327698505,19.0,0.9990440461128653,0.9853181076672104,0.0,0.0,0.9999350491191037,0.9999411382641877,0.9999939104964772
MEGAHIT,9.0,0.13079420734662014,269400.0,274574.0,0.0,2962451.0,0.990010834323082,26.0,0.9306227695874155,0.16557911908646003,1.0,2.0,1.0448928944309965,1.046059496005166,0.9988847655619736
MetaHipMer2,0.0,0.004710691491814772,2785.0,2542.0,0.0,2610544.0,0.8724083009228223,1073.0,0.9952312054056793,0.8388059701492537,0.0,0.0,1.0156710631960235,1.0194599286585477,0.9962834581762229
metaSPAdes,12.0,0.1490107080006229,254438.0,254438.0,0.0,2960686.0,0.9894209953274058,27.0,0.9992572356706747,0.9899861878453039,0.0,0.0,1.000285744587572,1.0003901122915433,0.9998956729952756
MINIA,461.0,0.009597165029933076,6641.0,6537.0,0.0,2831746.0,0.9463310009350535,589.0,0.9983119593960706,0.00666704655535928,1.0,1.0,1.0033971973475022,1.0157122143017063,0.9878754860079431
SKESA,0.0,0.003666693178787719,2534.0,1926.0,0.0,2259852.0,0.7552118039983398,1001.0,1.0,1.0,0.0,0.0,0.9999654844653544,0.9999654844653544,1.0
SPAdes,835.0,0.0020138072452948225,2434.0,3149.0,0.0,1899833.0,0.6348983505227678,1839.0,0.9968396175175287,0.4963579604578564,565.0,1134.0,1.3787553958690053,1.3825815216390072,0.9972326219393803
Unicycler,33.0,0.15879835927845146,126634.0,126634.0,0.0,2947426.0,0.9849896836658376,64.0,0.9994551211713713,0.9651707970529136,0.0,0.0,0.9999043232976842,0.9999185730193056,0.9999857491179722
VelvetOptimiser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
