Assembler,contigs,basepairs,max_contig,n50,mapped_reads,Ns,misassembled contigs,misassembly events,filtered_contigs,filtered_basepairs,filtered_n50,filtered_Ns,filtered_mapped_reads
ABySS,0.0,0.8831192596456598,0.645077173808839,0.5070230565190778,0.9957748045516742,0.7989961213780515,0.8461538461538461,0.8636363636363636,0.8609401231113598,0.9986564592728755,0.5660314221587431,0.8608259183207848,0.9946619284832606
GATBMiniaPipeline,0.9709201924262982,0.985873046355645,0.5894621800402646,0.49768210569271576,0.99889015365141,1.0,0.9230769230769231,0.9545454545454546,0.8161723559037493,0.9805070911373845,0.5000816159967354,1.0,0.9948699614879334
IDBA-UD,0.9435981250770938,0.9826263555331642,0.35917783529862907,0.252630075494797,0.9958526552428963,1.0,0.0,0.0,0.6491326245103526,0.974127744684737,0.2578167720873291,1.0,0.9863325892759276
MEGAHIT,0.9698100407055631,0.9887723321476453,0.5895043619978909,0.7000204039991839,1.0,1.0,0.23076923076923073,0.045454545454545414,0.8550643536653609,0.9829425454897498,0.7000204039991839,1.0,1.0
MetaHipMer2,0.972739607746392,0.9817493605999266,0.35921771642220307,0.43412772903489083,0.989753297766771,1.0,1.0,1.0,0.8007834359261332,0.9779050594496899,0.4351642521934299,1.0,0.9858539864454325
metaSPAdes,0.9765326261255705,0.9849888131444027,0.7038450771738088,0.8527606610895736,0.9971803111637546,1.0,0.9230769230769231,0.8636363636363636,0.8978735310576385,0.9824190628840589,0.8527606610895736,1.0,0.9963102121705886
MINIA,0.48353274947576164,0.9904113174095741,0.12410085322596108,0.07331973066721077,0.9685294182536717,1.0,1.0,1.0,0.0,0.9118413607290523,0.08480718220771272,1.0,0.9342089565189098
SKESA,0.9608671518440853,0.9774626197066578,0.4847190106413575,0.30132217914711285,0.9888876325530108,1.0,0.3076923076923077,0.18181818181818177,0.7506994963626189,0.9715065186348336,0.30254233829830646,1.0,0.9857067595380767
SPAdes,0.9189589243863328,0.9908970898794106,0.6520379637618636,0.8427463782901449,0.9964342659788687,1.0,1.0,1.0,0.8847229994404029,0.9808766957079952,0.8528504386859824,1.0,0.9963102121705886
Unicycler,0.9797705686443814,0.9791666848431461,1.0,1.0,0.9939818830237921,1.0,1.0,1.0,0.906547285954113,0.9755176879440696,1.0,1.0,0.9894829681775271
VelvetOptimiser,0.6586591834217344,0.9864186638739839,0.6501980634646726,0.11906141603754336,0.9676668555766834,0.0,0.5384615384615384,0.5,0.15081141578063795,0.9198770126088541,0.1358539073658437,0.0,0.9348659392857465
