Assembler,contigs,basepairs,max_contig,n50,mapped_reads,Ns,misassembled contigs,misassembly events,filtered_contigs,filtered_basepairs,filtered_n50,filtered_Ns,filtered_mapped_reads
ABySS,0.7121907060953531,0.9820161105326413,0.9186801190423379,0.3628206578908768,1.0,0.5586026399635867,0.5882352941176471,0.6470588235294117,0.4923376985232656,0.993543262137437,0.3741738645745586,0.7189424121695038,0.9953284337163127
GATBMiniaPipeline,0.9336149668074833,0.9836549019121236,0.6096917667526246,0.37863300518417004,0.9955170369704581,1.0,0.8235294117647058,0.8235294117647058,0.7731958762886598,0.9782442244761919,0.381323576867789,1.0,0.9906900787049894
IDBA-UD,0.8900422450211225,0.982032881364268,0.5647471121817806,0.26706648058974647,0.995550628538735,1.0,0.0,0.0,0.6436333240456952,0.973626364677953,0.27286252519791626,1.0,0.985257516197653
MEGAHIT,0.9508750754375377,0.9870367611135923,0.6097486648240692,0.7475807904916371,0.9990595501512991,1.0,0.47058823529411764,0.47058823529411764,0.8537196990805238,0.9829925671609603,0.7538210727921177,1.0,1.0
MetaHipMer2,0.9467712733856367,0.9816503836109617,0.45167328548752006,0.41905025334121226,0.9893663580842929,1.0,1.0,1.0,0.7999442741710783,0.9779738554044748,0.4276793609682705,1.0,0.98549892779125
metaSPAdes,0.9613759806879904,0.9840754975661775,1.0,1.0,0.9974181258277414,1.0,0.8823529411764706,0.8235294117647058,0.8999721370855391,0.9817944059550089,1.0,1.0,0.9952624119972858
MINIA,0.0,0.9901368768064795,0.15604730062047828,0.0746822233677408,0.9739495962225057,1.0,1.0,1.0,0.0,0.9114394101036085,0.08645033129235451,1.0,0.9350586207587631
SKESA,0.859867229933615,0.9729912380967891,0.6079259977896546,0.17650066426107766,0.985225641236804,1.0,0.4117647058823529,0.4411764705882353,0.519086096405684,0.9640840846197353,0.1809137047328078,1.0,0.9802426713315143
SPAdes,0.9312009656004828,0.9837181075896997,0.8198510620651879,0.8569638449191361,0.9963096611061311,1.0,0.8235294117647058,0.8235294117647058,0.8762886597938144,0.9783381605215463,0.8569638449191361,1.0,0.9916805190120218
Unicycler,0.9435123717561859,0.9779255463615423,0.8173398319288832,0.8568884083298758,0.9929901411883842,1.0,1.0,1.0,0.876567288938423,0.9724200280955053,0.8757056464287062,1.0,0.9853581807094042
VelvetOptimiser,0.34073627036813514,0.9864377289812282,0.8176050348042609,0.12762613626362573,0.9733196259963837,0.0,0.5294117647058824,0.6764705882352942,0.16578434104207296,0.9204668030112658,0.1452741072289207,0.0,0.9367415733553979
