Assembler,Algorithm,Type,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,Single k-mer De Bruijn graph,Genomic,41.33 [41.0;42.0],0.06 [0.06;0.06],116811.0 [116811.0;116811.0],116109.67 [114707.0;116811.0],2.0 [2.0;2.0],4700658.0 [4700658.0;4700658.0],0.99 [0.99;0.99],77.33 [77.0;78.0],1.0 [1.0;1.0],0.98 [0.98;0.98],0.0 [0.0;0.0],0.0 [0.0;0.0],1.01 [1.01;1.01],1.01 [1.01;1.01],1.0 [1.0;1.0]
BCALM2,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.01 [0.01;0.01],5009.0 [5009.0;5009.0],3551.0 [3551.0;3551.0],0.0 [0.0;0.0],3817255.0 [3817235.0;3817265.0],0.8 [0.8;0.8],1079.0 [1079.0;1079.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,Metagenomic,96.0 [96.0;96.0],0.06 [0.06;0.06],52959.0 [52959.0;52959.0],51487.0 [51487.0;51487.0],0.0 [0.0;0.0],4643726.0 [4643659.0;4643859.0],0.98 [0.98;0.98],178.0 [178.0;178.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
IDBA-UD,Multiple k-mer De Bruijn graph,Metagenomic,171.67 [171.0;172.0],0.04 [0.04;0.04],26251.0 [25757.0;26498.0],27717.0 [27717.0;27717.0],0.0 [0.0;0.0],4551054.0 [4550745.0;4551672.0],0.96 [0.96;0.96],396.33 [396.0;397.0],0.99 [0.99;0.99],0.66 [0.66;0.66],7.33 [7.0;8.0],12.67 [12.0;14.0],1.01 [1.01;1.01],1.02 [1.02;1.02],0.99 [0.99;0.99]
MEGAHIT,Multiple k-mer De Bruijn graph,Metagenomic,47.0 [47.0;47.0],0.08 [0.08;0.08],117581.0 [117581.0;117581.0],117581.0 [117581.0;117581.0],0.0 [0.0;0.0],4669364.0 [4669364.0;4669364.0],0.98 [0.98;0.98],103.0 [103.0;103.0],1.0 [1.0;1.0],0.93 [0.93;0.93],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MetaHipMer2,Multiple k-mer De Bruijn graph,Metagenomic,86.0 [86.0;86.0],0.06 [0.06;0.06],60329.0 [60329.0;60329.0],58958.0 [58958.0;58958.0],0.0 [0.0;0.0],4641324.0 [4641272.0;4641350.0],0.98 [0.98;0.98],161.0 [161.0;161.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
metaSPAdes,Multiple k-mer De Bruijn graph,Metagenomic,25.0 [25.0;25.0],0.11 [0.11;0.11],198784.0 [198784.0;198784.0],198784.0 [198784.0;198784.0],0.0 [0.0;0.0],4674406.0 [4674406.0;4674406.0],0.98 [0.98;0.98],56.0 [56.0;56.0],1.0 [1.0;1.0],0.93 [0.93;0.93],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MINIA,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.01 [0.01;0.01],4996.0 [4996.0;4996.0],3551.0 [3551.0;3551.0],0.0 [0.0;0.0],3825656.67 [3825653.0;3825661.0],0.8 [0.8;0.8],1083.0 [1083.0;1083.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SKESA,Multiple k-mer De Bruijn graph,Genomic,144.0 [144.0;144.0],0.03 [0.03;0.03],37980.0 [37980.0;37980.0],37661.0 [37661.0;37661.0],0.0 [0.0;0.0],4566475.0 [4566475.0;4566475.0],0.96 [0.96;0.96],245.0 [245.0;245.0],1.0 [1.0;1.0],0.22 [0.22;0.22],2.0 [2.0;2.0],2.0 [2.0;2.0],1.0 [1.0;1.0],1.01 [1.01;1.01],0.99 [0.99;0.99]
SPAdes,Multiple k-mer De Bruijn graph,Genomic,46.0 [46.0;46.0],0.11 [0.11;0.11],103636.0 [103636.0;103636.0],103102.0 [103102.0;103102.0],0.0 [0.0;0.0],4614007.0 [4614007.0;4614007.0],0.97 [0.97;0.97],91.0 [91.0;91.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
Unicycler,Multiple k-mer De Bruijn graph,Genomic,35.0 [35.0;35.0],0.08 [0.08;0.08],157802.0 [157802.0;157802.0],155040.0 [155040.0;155040.0],0.0 [0.0;0.0],4637757.0 [4637757.0;4637757.0],0.97 [0.97;0.97],89.0 [89.0;89.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
