Assembler,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events
ABySS,0.6531907784831273,1955.0,1955.0,0.0,1955.0,0.6531907784831273,0.0,1.0,1.0,0.0,0.0
BCALM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GATBMiniaPipeline,1.0564650851987971,3162.0,3162.0,0.0,2993.0,1.0,1.0,1.0,1.0,0.0,0.0
IDBA-UD,0.5639826261276312,1688.0,1688.0,0.0,2757.0,0.9211493484797861,2.0,1.0,1.0,0.0,0.0
MEGAHIT,1.047109923154026,3134.0,3134.0,0.0,2993.0,1.0,1.0,1.0,1.0,0.0,0.0
MetaHipMer2,0.5322418977614434,1593.0,1593.0,0.0,1593.0,0.5322418977614434,1.0,1.0,1.0,0.0,0.0
metaSPAdes,1.2886735716672235,3857.0,3857.0,0.0,2993.0,1.0,1.0,1.0,1.0,0.0,0.0
MINIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKESA,0.9295021717340461,2782.0,2782.0,0.0,2782.0,0.9295021717340461,1.0,1.0,1.0,0.0,0.0
SPAdes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unicycler,1.0,2993.0,2993.0,0.0,2993.0,1.0,1.0,1.0,1.0,0.0,0.0
VelvetOptimiser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
