Assembler,Algorithm,Ns,Type,basepairs,contigs,filtered_Ns,filtered_basepairs,filtered_contigs,filtered_mapped_reads,filtered_n50,mapped_reads,max_contig,misassembled contigs,misassembly events,n50
ABySS,Multiple k-mer De Bruijn graph,678.5 [9;1349],Metagenomic,49430721.75 [20132631;78728532],361241.5 [44621;677860],200.0 [0;400],8362124.25 [3150980;13573734],784.0 [356;1212],89.57 [79;99],105437.0 [18568;192306],199.54 [101;297],469989.5 [88665;851314],0.0 [0;0],0.0 [0;0],4835.0 [101;9569]
BCALM2,Single k-mer De Bruijn graph,0.0 [0;0],Genomic,233321388.33 [19635512;364761201],5418807.0 [44825;8175890],0.0 [0;0],4688952.0 [11967;13397815],433.0 [11;784],32.44 [0;97],11253.33 [1062;31436],36.14 [1;98],55949.33 [1212;163543],0.0 [0;0],0.0 [0;0],6255.33 [35;18682]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,0.0 [0;0],Metagenomic,14892063.33 [13638625;17126542],2819.5 [693;6777],0.0 [0;0],13685813.83 [13507672;13891396],527.83 [219;762],95.04 [89;98],107608.33 [90095;140561],95.72 [89;100],602475.67 [542997;632215],1.0 [0;2],3.0 [0;6],94548.33 [55075;136741]
IDBA-UD,Multiple k-mer De Bruijn graph,0.0 [0;0],Metagenomic,17234505.33 [13791669;23587129],5722.33 [1025;14155],0.0 [0;0],14926006.67 [13601126;17534580],1184.67 [261;2725],95.23 [89;99],109414.33 [106347;113853],95.91 [90;99],616678.67 [585610;632213],2.33 [2;3],4.0 [2;5],85565.0 [51161;105808]
MEGAHIT,Multiple k-mer De Bruijn graph,0.0 [0;0],Metagenomic,17581572.33 [13843596;24498566],5593.67 [767;14172],0.0 [0;0],15309833.0 [13671964;18552996],1181.0 [172;3044],97.05 [93;100],197842.0 [171540;210993],97.63 [94;100],826891.0 [632250;1080013],0.67 [0;1],1.33 [0;2],152385.33 [82249;203548]
MetaHipMer2,Multiple k-mer De Bruijn graph,0.0 [0;0],Metagenomic,15030376.0 [15029970;15030782],11970.5 [11966;11975],0.0 [0;0],10265689.0 [10264085;10267293],5041.0 [5038;5044],74.37 [74;74],2173.5 [2170;2177],85.27 [85;85],14760.0 [14760;14760],0.0 [0;0],0.0 [0;0],1513.0 [1511;1515]
metaSPAdes,Multiple k-mer De Bruijn graph,0.0 [0;0],Metagenomic,19164672.33 [14157309;27822010],11693.67 [2099;26282],0.0 [0;0],15386033.67 [13672885;18792639],1238.33 [139;3392],95.81 [89;99],174651.33 [87983;239185],96.17 [90;100],796644.67 [622107;917728],1.67 [1;3],4.33 [3;7],139179.67 [3674;220609]
MINIA,Single k-mer De Bruijn graph,0.0 [0;0],Genomic,17498121.83 [15334712;20758864],25649.33 [14997;37300],0.0 [0;0],13290066.17 [12920975;13501499],1465.67 [762;2172],87.93 [81;97],20765.0 [10582;33550],92.64 [87;99],168041.33 [163543;177038],1.33 [0;2],2.33 [0;4],13902.0 [7485;26474]
SKESA,Multiple k-mer De Bruijn graph,0.0 [0;0],Genomic,6659581.0 [2957060;8818742],6124.0 [36;9514],0.0 [0;0],4407308.0 [2950393;5801439],1447.67 [21;2889],82.19 [62;92],120186.67 [2148;351027],88.7 [78;95],240146.67 [29155;632013],4.0 [0;12],7.67 [0;23],117871.0 [1155;351027]
SPAdes,Multiple k-mer De Bruijn graph,0.0 [0;0],Genomic,20446071.0 [15606257;29517365],24861.67 [7331;36214],0.0 [0;0],15441310.0 [13087777;19595813],2250.67 [227;4999],84.02 [75;98],87170.0 [55465;136684],102.37 [99;107],581322.33 [263645;847683],191.0 [0;572],383.33 [0;1148],57051.0 [1972;122703]
Unicycler,Multiple k-mer De Bruijn graph,0.0 [0;0],Genomic,11596988.67 [9747587;13324149],218.0 [185;264],0.0 [0;0],11577328.67 [9725301;13315624],166.33 [112;243],94.33 [87;98],230819.67 [192888;256884],94.94 [88;99],847562.0 [847534;847580],1.67 [0;5],3.33 [0;10],230819.67 [192888;256884]
VelvetOptimiser,Multiple k-mer De Bruijn graph,21519.0 [0;124182],Metagenomic,28904674.5 [15546803;47958628],239235.33 [15386;525998],2048.67 [0;12292],5982171.17 [409222;12274643],2093.33 [340;3237],30.23 [0;95],3961.5 [1169;13110],35.99 [1;97],75773.5 [2044;395655],1.17 [0;7],2.33 [0;14],1046.0 [88;5219]
