Assembler,Algorithm,Type,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0]
BCALM2,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],0.0 [0.0;0.0],1088.0 [1088.0;1088.0],0.0 [0.0;0.0],0.0 [0.0;0.0],4337.0 [4337.0;4337.0],0.0 [0.0;0.0],4.0 [4.0;4.0],0.99 [0.99;0.99],0.96 [0.96;0.96],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.01 [1.01;1.01],0.99 [0.99;0.99]
IDBA-UD,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],0.0 [0.0;0.0],30548.0 [30548.0;30548.0],0.0 [0.0;0.0],0.0 [0.0;0.0],6562.0 [6562.0;6562.0],0.0 [0.0;0.0],7.0 [7.0;7.0],0.84 [0.84;0.84],0.01 [0.01;0.01],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],5.63 [5.63;5.63],0.18 [0.18;0.18]
MEGAHIT,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],0.0 [0.0;0.0],1224.0 [1224.0;1224.0],0.0 [0.0;0.0],0.0 [0.0;0.0],13369.0 [13369.0;13369.0],0.0 [0.0;0.0],9.0 [9.0;9.0],0.99 [0.99;0.99],0.96 [0.96;0.96],0.0 [0.0;0.0],0.0 [0.0;0.0],0.99 [0.99;0.99],1.0 [1.0;1.0],0.99 [0.99;0.99]
MetaHipMer2,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0]
metaSPAdes,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],0.0 [0.0;0.0],1088.0 [1088.0;1088.0],0.0 [0.0;0.0],0.0 [0.0;0.0],7698.0 [7698.0;7698.0],0.0 [0.0;0.0],7.0 [7.0;7.0],0.99 [0.99;0.99],0.96 [0.96;0.96],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.01 [1.01;1.01],0.99 [0.99;0.99]
MINIA,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0]
SKESA,Multiple k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0]
SPAdes,Multiple k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],1094.0 [1094.0;1094.0],0.0 [0.0;0.0],0.0 [0.0;0.0],10860.0 [10860.0;10860.0],0.0 [0.0;0.0],10.0 [10.0;10.0],0.98 [0.98;0.98],0.87 [0.87;0.87],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.02 [1.02;1.02],0.98 [0.98;0.98]
