Assembler,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,1.0,0.5057769051060387,55639.0,55639.0,0.0,109424.0,0.9947003372512658,3.0,0.9997422884002174,0.9995324062779539,0.0,0.0,1.0014347857873958,1.0015901447580056,0.9998448876804321
BCALM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GATBMiniaPipeline,2.0,0.48336924013926386,28587.0,28587.0,0.0,109450.0,0.9949366858472642,3.0,0.999658172310327,0.9994752859691468,0.0,0.0,1.0024029237094563,1.0024486066697122,0.9999544286261142
IDBA-UD,4.0,0.2867181179379494,28584.0,28584.0,0.0,108159.0,0.9832010690228804,7.0,0.9999143352812138,0.9994752308984047,0.0,0.0,1.0044748934439114,1.0044748934439114,1.0
MEGAHIT,1.0,0.5024862054232913,55277.0,55277.0,0.0,109516.0,0.9955366476678756,3.0,0.9983707684375259,0.9954198473282443,0.0,0.0,1.0025749662149823,1.0025749662149823,1.0
MetaHipMer2,0.0,0.013662766914832692,1503.0,0.0,0.0,1503.0,0.013662766914832692,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
metaSPAdes,1.0,0.5009226685574555,55105.0,55105.0,0.0,108144.0,0.9830647140636505,2.0,0.9998548226113783,0.9997096452227565,0.0,0.0,1.0,1.0,1.0
MINIA,6.0,0.22640377430527148,14811.0,14811.0,0.0,104297.0,0.9480942121864973,8.0,0.9995911692559281,0.9967293540474244,0.0,0.0,1.000862920314103,1.0010546803839036,0.9998084419627037
SKESA,2.0,0.4811239284772787,28384.0,28384.0,0.0,107808.0,0.9800103629769015,3.0,0.9998230080842574,0.9995067643742954,0.0,0.0,1.0,1.0,1.0
SPAdes,2.0,0.48254202005326935,28541.0,28541.0,0.0,109262.0,0.9932277036915833,4.0,0.9987235719017853,0.9954198473282443,0.0,0.0,1.001409456169574,1.001409456169574,1.0
Unicycler,1.0,0.4999409128510004,54997.0,52932.0,0.0,107929.0,0.9811102929813558,2.0,0.9998454461152426,0.9996908922304854,0.0,0.0,1.0,1.0,1.0
VelvetOptimiser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
