Assembler,Algorithm,Type,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0]
BCALM2,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],1062.0 [1062.0;1062.0],0.0 [0.0;0.0],0.0 [0.0;0.0],11967.0 [11967.0;11967.0],0.0 [0.0;0.0],11.0 [11.0;11.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,Metagenomic,459.0 [459.0;459.0],0.01 [0.01;0.01],8915.0 [8915.0;8915.0],8732.0 [8732.0;8732.0],0.0 [0.0;0.0],3882084.0 [3882084.0;3882084.0],0.96 [0.96;0.96],604.0 [604.0;604.0],1.0 [1.0;1.0],0.97 [0.97;0.97],2.0 [2.0;2.0],6.0 [6.0;6.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
IDBA-UD,Multiple k-mer De Bruijn graph,Metagenomic,292.0 [292.0;292.0],0.01 [0.01;0.01],14006.0 [14006.0;14006.0],13214.0 [13214.0;13214.0],0.0 [0.0;0.0],3925882.0 [3925882.0;3925882.0],0.97 [0.97;0.97],418.0 [418.0;418.0],1.0 [1.0;1.0],0.5 [0.5;0.5],2.0 [2.0;2.0],5.0 [5.0;5.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MEGAHIT,Multiple k-mer De Bruijn graph,Metagenomic,147.0 [147.0;147.0],0.03 [0.03;0.03],26511.0 [26511.0;26511.0],26209.0 [26209.0;26209.0],0.0 [0.0;0.0],3969756.0 [3969756.0;3969756.0],0.98 [0.98;0.98],223.0 [223.0;223.0],1.0 [1.0;1.0],0.91 [0.91;0.91],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MetaHipMer2,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0]
metaSPAdes,Multiple k-mer De Bruijn graph,Metagenomic,66.0 [66.0;66.0],0.05 [0.05;0.05],66647.0 [66647.0;66647.0],63281.0 [63281.0;63281.0],0.0 [0.0;0.0],3971865.0 [3971865.0;3971865.0],0.98 [0.98;0.98],110.0 [110.0;110.0],1.0 [1.0;1.0],0.98 [0.98;0.98],1.0 [1.0;1.0],3.0 [3.0;3.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MINIA,Single k-mer De Bruijn graph,Genomic,649.0 [649.0;649.0],0.01 [0.01;0.01],6662.0 [6662.0;6662.0],6313.0 [6313.0;6313.0],0.0 [0.0;0.0],3821823.0 [3821823.0;3821823.0],0.94 [0.94;0.94],783.0 [783.0;783.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SKESA,Multiple k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0]
SPAdes,Multiple k-mer De Bruijn graph,Genomic,72.0 [72.0;72.0],0.05 [0.05;0.05],56470.0 [56470.0;56470.0],54127.0 [54127.0;54127.0],0.0 [0.0;0.0],3964395.0 [3964395.0;3964395.0],0.98 [0.98;0.98],116.0 [116.0;116.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
Unicycler,Multiple k-mer De Bruijn graph,Genomic,143.0 [143.0;143.0],0.03 [0.03;0.03],31575.0 [31575.0;31575.0],29304.0 [29304.0;29304.0],0.0 [0.0;0.0],3813210.0 [3813210.0;3813210.0],0.94 [0.94;0.94],179.0 [179.0;179.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
VelvetOptimiser,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],0.0 [0.0;0.0],1863.67 [1302.0;2987.0],786.0 [0.0;2358.0],0.0 [0.0;0.0],1668536.33 [891684.0;3222241.0],0.41 [0.22;0.8],862.67 [667.0;1254.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
