Assembler,Algorithm,Type,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,Single k-mer De Bruijn graph,Genomic,88.67 [0.0;133.0],0.02 [0.0;0.03],28649.67 [0.0;43381.0],27719.33 [0.0;42568.0],0.0 [0.0;0.0],3095607.33 [0.0;4644860.0],0.65 [0.0;0.97],156.0 [0.0;234.0],0.67 [0.0;1.0],0.63 [0.0;0.94],0.0 [0.0;0.0],0.0 [0.0;0.0],0.67 [0.0;1.01],0.67 [0.0;1.01],0.67 [0.0;1.0]
BCALM2,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,Metagenomic,99.0 [99.0;99.0],0.03 [0.03;0.03],59656.0 [59656.0;59656.0],59357.0 [59357.0;59357.0],0.0 [0.0;0.0],4632389.0 [4632389.0;4632389.0],0.97 [0.97;0.97],180.0 [180.0;180.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
IDBA-UD,Multiple k-mer De Bruijn graph,Metagenomic,215.0 [215.0;215.0],0.02 [0.02;0.02],22923.0 [22923.0;22923.0],22537.0 [22537.0;22537.0],0.0 [0.0;0.0],4589511.0 [4589511.0;4589511.0],0.96 [0.96;0.96],358.0 [358.0;358.0],1.0 [1.0;1.0],0.85 [0.85;0.85],3.0 [3.0;3.0],6.0 [6.0;6.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MEGAHIT,Multiple k-mer De Bruijn graph,Metagenomic,43.0 [43.0;43.0],0.05 [0.05;0.05],90017.0 [90017.0;90017.0],102135.0 [102135.0;102135.0],0.0 [0.0;0.0],4673019.0 [4673019.0;4673019.0],0.98 [0.98;0.98],132.0 [132.0;132.0],0.99 [0.99;0.99],0.79 [0.79;0.79],4.0 [4.0;4.0],7.0 [7.0;7.0],1.02 [1.02;1.02],1.03 [1.03;1.03],1.0 [1.0;1.0]
MetaHipMer2,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],0.0 [0.0;0.0],1159.0 [1155.0;1161.0],0.0 [0.0;0.0],0.0 [0.0;0.0],127453.67 [127017.0;127693.0],0.03 [0.03;0.03],106.67 [106.0;107.0],1.0 [1.0;1.0],0.96 [0.96;0.96],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
metaSPAdes,Multiple k-mer De Bruijn graph,Metagenomic,90.0 [90.0;90.0],0.05 [0.05;0.05],65619.0 [65619.0;65619.0],61032.0 [61032.0;61032.0],0.0 [0.0;0.0],4635986.0 [4635986.0;4635986.0],0.97 [0.97;0.97],167.0 [167.0;167.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MINIA,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.01 [0.01;0.01],4407.67 [4405.0;4409.0],3074.67 [3072.0;3080.0],0.0 [0.0;0.0],3747005.33 [3746226.0;3747419.0],0.79 [0.79;0.79],1146.33 [1146.0;1147.0],1.0 [1.0;1.0],0.98 [0.97;0.98],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SKESA,Multiple k-mer De Bruijn graph,Genomic,129.0 [129.0;129.0],0.03 [0.03;0.03],42198.0 [42198.0;42198.0],41112.0 [41112.0;41112.0],0.0 [0.0;0.0],4579934.0 [4579934.0;4579934.0],0.96 [0.96;0.96],209.0 [209.0;209.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SPAdes,Multiple k-mer De Bruijn graph,Genomic,79.0 [79.0;79.0],0.06 [0.06;0.06],66358.0 [66358.0;66358.0],65182.0 [65182.0;65182.0],0.0 [0.0;0.0],4630811.0 [4630811.0;4630811.0],0.97 [0.97;0.97],143.0 [143.0;143.0],1.0 [1.0;1.0],0.54 [0.54;0.54],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.01 [1.01;1.01],0.99 [0.99;0.99]
Unicycler,Multiple k-mer De Bruijn graph,Genomic,44.0 [44.0;44.0],0.07 [0.07;0.07],106172.0 [106172.0;106172.0],106172.0 [106172.0;106172.0],0.0 [0.0;0.0],4632276.0 [4632276.0;4632276.0],0.97 [0.97;0.97],98.0 [98.0;98.0],1.0 [1.0;1.0],0.99 [0.99;0.99],1.0 [1.0;1.0],2.0 [2.0;2.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
