Assembler,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events
ABySS,0.03297949092241477,44387.0,44050.0,0.0,4658543.0,0.9787377309629548,0.0,0.9981569034225883,0.8657086223984143,0.0,0.0
BCALM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GATBMiniaPipeline,0.05947523250190241,59024.0,59024.0,0.0,4643845.0,0.9756497510581447,166.0,0.9974740157506425,0.6460342146189736,0.0,0.0
IDBA-UD,0.022045504108832697,29331.0,28547.0,0.0,4618887.0,0.9704061939439625,305.0,0.9955042520583469,0.6373902706656913,1.0,1.0
MEGAHIT,0.1114097264854049,89627.0,94251.0,0.0,4668709.0,0.9808735592193365,105.0,0.9985807429973635,0.9584285061671997,3.0,6.0
MetaHipMer2,0.0005512899217731366,1141.0,0.0,0.0,104318.0,0.021916715723906275,84.0,0.9987950214070335,0.9107843137254902,0.0,0.0
metaSPAdes,0.05149329396988831,70327.0,70327.0,0.0,4654552.0,0.9778992408418432,145.0,0.9988235301245877,0.9586919104991394,0.0,0.0
MINIA,0.00919355780749645,4900.0,3355.0,0.0,3803349.0,0.7990655383711652,1105.0,0.9996414843363611,0.8015488867376573,0.0,0.0
SKESA,0.0363592931219439,46989.0,46525.0,0.0,4612070.0,0.9689739746616731,193.0,0.9999381560896303,0.992955135335558,0.0,0.0
SPAdes,0.08225228825235632,106595.0,106595.0,0.0,4651603.0,0.9772796699655822,110.0,0.9952914636705927,0.5023564288700544,1.0,1.0
Unicycler,0.08743996003148068,157800.0,157800.0,0.0,4648129.0,0.9765497990859177,70.0,0.9998866646577428,0.9952070188740556,0.0,0.0
VelvetOptimiser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
