Assembler,Algorithm,Type,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0]
BCALM2,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],0.0 [0.0;0.0],1175.0 [1175.0;1175.0],0.0 [0.0;0.0],0.0 [0.0;0.0],3965.0 [3965.0;3965.0],0.0 [0.0;0.0],3.0 [3.0;3.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
IDBA-UD,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],0.0 [0.0;0.0],1171.0 [1171.0;1171.0],0.0 [0.0;0.0],0.0 [0.0;0.0],3792.0 [3792.0;3792.0],0.0 [0.0;0.0],3.0 [3.0;3.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MEGAHIT,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],0.0 [0.0;0.0],1086.0 [1086.0;1086.0],0.0 [0.0;0.0],0.0 [0.0;0.0],8119.0 [8119.0;8119.0],0.0 [0.0;0.0],7.0 [7.0;7.0],0.99 [0.99;0.99],0.95 [0.95;0.95],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.01 [1.01;1.01],0.99 [0.99;0.99]
MetaHipMer2,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0]
metaSPAdes,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],0.0 [0.0;0.0],1299.0 [1299.0;1299.0],0.0 [0.0;0.0],0.0 [0.0;0.0],7782.0 [7782.0;7782.0],0.0 [0.0;0.0],6.0 [6.0;6.0],0.99 [0.99;0.99],0.95 [0.95;0.95],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.01 [1.01;1.01],0.99 [0.99;0.99]
MINIA,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],1313.0 [1313.0;1313.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1313.0 [1313.0;1313.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SKESA,Multiple k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0]
SPAdes,Multiple k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],1299.0 [1299.0;1299.0],0.0 [0.0;0.0],0.0 [0.0;0.0],9199.0 [9199.0;9199.0],0.0 [0.0;0.0],7.0 [7.0;7.0],0.99 [0.99;0.99],0.96 [0.96;0.96],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.01 [1.01;1.01],0.99 [0.99;0.99]
