Assembler,Algorithm,Type,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],1421.0 [1421.0;1421.0],0.0 [0.0;0.0],0.0 [0.0;0.0],179111.0 [179111.0;179111.0],0.03 [0.03;0.03],125.0 [125.0;125.0],1.0 [1.0;1.0],0.97 [0.97;0.97],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
BCALM2,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,Metagenomic,66.0 [66.0;66.0],0.06 [0.06;0.06],103446.0 [103446.0;103446.0],97463.0 [97463.0;97463.0],0.0 [0.0;0.0],6646876.67 [6646876.0;6646877.0],0.98 [0.98;0.98],136.0 [136.0;136.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
IDBA-UD,Multiple k-mer De Bruijn graph,Metagenomic,48.0 [48.0;48.0],0.06 [0.06;0.06],171408.0 [171408.0;171408.0],171408.0 [171408.0;171408.0],0.0 [0.0;0.0],6695520.0 [6695520.0;6695520.0],0.99 [0.99;0.99],119.0 [119.0;119.0],1.0 [1.0;1.0],0.92 [0.92;0.92],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MEGAHIT,Multiple k-mer De Bruijn graph,Metagenomic,28.0 [28.0;28.0],0.08 [0.08;0.08],258176.0 [258176.0;258176.0],258176.0 [258176.0;258176.0],0.0 [0.0;0.0],6738936.0 [6738936.0;6738936.0],0.99 [0.99;0.99],75.0 [75.0;75.0],1.0 [1.0;1.0],0.97 [0.97;0.97],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MetaHipMer2,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],0.0 [0.0;0.0],1607.33 [1606.0;1608.0],1105.0 [1104.0;1107.0],0.0 [0.0;0.0],3758059.0 [3754006.0;3766165.0],0.55 [0.55;0.55],2394.67 [2391.0;2402.0],1.0 [1.0;1.0],0.94 [0.94;0.94],0.0 [0.0;0.0],0.0 [0.0;0.0],1.01 [1.01;1.01],1.01 [1.01;1.01],1.0 [1.0;1.0]
metaSPAdes,Multiple k-mer De Bruijn graph,Metagenomic,33.0 [33.0;33.0],0.09 [0.09;0.09],189098.0 [189098.0;189098.0],189098.0 [189098.0;189098.0],0.0 [0.0;0.0],6733500.0 [6733500.0;6733500.0],0.99 [0.99;0.99],68.0 [68.0;68.0],1.0 [1.0;1.0],0.98 [0.98;0.98],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MINIA,Single k-mer De Bruijn graph,Genomic,324.67 [324.0;325.0],0.02 [0.02;0.02],22511.0 [22511.0;22511.0],21863.0 [21863.0;21863.0],0.0 [0.0;0.0],6494247.33 [6494208.0;6494267.0],0.96 [0.96;0.96],497.0 [497.0;497.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SKESA,Multiple k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],1930.0 [1930.0;1930.0],1049.0 [1049.0;1049.0],0.0 [0.0;0.0],3512871.0 [3512871.0;3512871.0],0.52 [0.52;0.52],1877.0 [1877.0;1877.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SPAdes,Multiple k-mer De Bruijn graph,Genomic,31.0 [31.0;31.0],0.12 [0.12;0.12],264371.0 [264371.0;264371.0],264371.0 [264371.0;264371.0],0.0 [0.0;0.0],6710057.0 [6710057.0;6710057.0],0.99 [0.99;0.99],74.0 [74.0;74.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
