Assembler,contigs,basepairs,max_contig,n50,mapped_reads,Ns,misassembled contigs,misassembly events,filtered_contigs,filtered_basepairs,filtered_n50,filtered_Ns,filtered_mapped_reads
ABySS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GATBMiniaPipeline,988.0,13638625.0,632215.0,90987.0,97.17227401958398,0.0,2.0,6.0,762.0,13507796.0,91722.0,0.0,96.81308452871174
IDBA-UD,1025.0,13791670.0,632213.0,106347.0,97.18581605263294,0.0,2.0,5.0,568.0,13601126.0,108024.0,0.0,96.95702834337587
MEGAHIT,767.0,13843596.0,632250.0,171359.0,97.28649121627464,0.0,0.0,0.0,327.0,13671964.0,171540.0,0.0,97.14734538939089
MetaHipMer2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metaSPAdes,2099.0,14157309.0,917728.0,193256.0,97.26786896086999,0.0,1.0,3.0,184.0,13672885.0,196786.0,0.0,97.18295816622955
MINIA,24654.0,15335108.0,163543.0,7727.0,91.09595490535399,0.0,0.0,0.0,2171.0,12922301.0,10582.0,0.0,81.98968769218084
SKESA,36.0,2957060.0,632013.0,351027.0,92.22844099976099,0.0,0.0,0.0,21.0,2950393.0,351027.0,0.0,92.00038605508651
SPAdes,31040.0,16214591.0,263645.0,46478.0,95.50347428671587,0.0,1.0,2.0,1526.0,13087777.0,69361.0,0.0,77.08148626483488
Unicycler,264.0,13324149.0,847572.0,192888.0,96.9745352495514,0.0,5.0,10.0,243.0,13315624.0,192888.0,0.0,96.40605627732344
VelvetOptimiser,185614.0,22242266.0,17566.0,175.0,9.675074413759065,0.0,0.0,0.0,817.0,6701756.0,2177.0,0.0,2.5582557250970006
