Assembler,Algorithm,Type,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,Single k-mer De Bruijn graph,Genomic,78.0 [0.0;118.0],0.02 [0.0;0.03],29479.0 [0.0;44387.0],29366.67 [0.0;44050.0],1.33 [0.0;2.0],3105253.33 [0.0;4658543.0],0.65 [0.0;0.98],142.33 [0.0;214.0],0.67 [0.0;1.0],0.58 [0.0;0.87],0.67 [0.0;1.0],2.0 [0.0;4.0],0.67 [0.0;1.01],0.67 [0.0;1.01],0.67 [0.0;1.0]
BCALM2,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,Metagenomic,85.0 [85.0;85.0],0.06 [0.06;0.06],59024.0 [59024.0;59024.0],59024.0 [59024.0;59024.0],0.0 [0.0;0.0],4643774.0 [4643732.0;4643845.0],0.98 [0.98;0.98],166.0 [166.0;166.0],1.0 [1.0;1.0],0.65 [0.65;0.65],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
IDBA-UD,Multiple k-mer De Bruijn graph,Metagenomic,175.0 [175.0;175.0],0.02 [0.02;0.02],29331.0 [29331.0;29331.0],28547.0 [28547.0;28547.0],0.0 [0.0;0.0],4618725.67 [4618546.0;4618887.0],0.97 [0.97;0.97],305.0 [305.0;305.0],1.0 [1.0;1.0],0.64 [0.64;0.64],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.01 [1.01;1.01],1.0 [1.0;1.0]
MEGAHIT,Multiple k-mer De Bruijn graph,Metagenomic,43.0 [43.0;43.0],0.11 [0.11;0.11],89627.0 [89627.0;89627.0],94251.0 [94251.0;94251.0],0.0 [0.0;0.0],4668709.0 [4668709.0;4668709.0],0.98 [0.98;0.98],105.0 [105.0;105.0],1.0 [1.0;1.0],0.96 [0.96;0.96],3.0 [3.0;3.0],6.0 [6.0;6.0],1.02 [1.02;1.02],1.02 [1.02;1.02],1.0 [1.0;1.0]
MetaHipMer2,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],0.0 [0.0;0.0],1134.33 [1125.0;1141.0],0.0 [0.0;0.0],0.0 [0.0;0.0],102609.33 [100425.0;104318.0],0.02 [0.02;0.02],86.0 [84.0;88.0],1.0 [1.0;1.0],0.91 [0.91;0.91],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
metaSPAdes,Multiple k-mer De Bruijn graph,Metagenomic,77.0 [77.0;77.0],0.05 [0.05;0.05],70327.0 [70327.0;70327.0],70327.0 [70327.0;70327.0],0.0 [0.0;0.0],4654552.0 [4654552.0;4654552.0],0.98 [0.98;0.98],145.0 [145.0;145.0],1.0 [1.0;1.0],0.96 [0.96;0.96],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MINIA,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.01 [0.01;0.01],4889.33 [4884.0;4900.0],3355.0 [3355.0;3355.0],0.0 [0.0;0.0],3802796.0 [3801964.0;3803349.0],0.8 [0.8;0.8],1105.67 [1105.0;1106.0],1.0 [1.0;1.0],0.8 [0.8;0.8],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SKESA,Multiple k-mer De Bruijn graph,Genomic,109.0 [109.0;109.0],0.04 [0.04;0.04],46989.0 [46989.0;46989.0],46525.0 [46525.0;46525.0],0.0 [0.0;0.0],4612070.0 [4612070.0;4612070.0],0.97 [0.97;0.97],193.0 [193.0;193.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SPAdes,Multiple k-mer De Bruijn graph,Genomic,50.0 [50.0;50.0],0.08 [0.08;0.08],106595.0 [106595.0;106595.0],106595.0 [106595.0;106595.0],0.0 [0.0;0.0],4651603.0 [4651603.0;4651603.0],0.98 [0.98;0.98],110.0 [110.0;110.0],1.0 [1.0;1.0],0.5 [0.5;0.5],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.01 [1.01;1.01],0.99 [0.99;0.99]
Unicycler,Multiple k-mer De Bruijn graph,Genomic,32.0 [32.0;32.0],0.09 [0.09;0.09],157800.0 [157800.0;157800.0],157800.0 [157800.0;157800.0],0.0 [0.0;0.0],4648129.0 [4648129.0;4648129.0],0.98 [0.98;0.98],70.0 [70.0;70.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
VelvetOptimiser,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0]
