Assembler,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,0.0,0.9986462093862816,2213.0,2213.0,0.0,2213.0,0.9986462093862816,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
BCALM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GATBMiniaPipeline,0.0,0.9819494584837545,2176.0,2176.0,0.0,2176.0,0.9819494584837545,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
IDBA-UD,0.0,0.9995487364620939,2215.0,2215.0,0.0,2215.0,0.9995487364620939,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
MEGAHIT,0.0,0.9995487364620939,2215.0,2215.0,0.0,2215.0,0.9995487364620939,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
MetaHipMer2,0.0,0.9986462093862816,2213.0,2213.0,0.0,2213.0,0.9986462093862816,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
metaSPAdes,0.0,0.9368231046931408,2076.0,2076.0,0.0,2076.0,0.9368231046931408,1.0,0.9995183044315993,0.9995183044315993,0.0,0.0,1.0,1.0,1.0
MINIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKESA,0.0,0.8605595667870036,1907.0,1907.0,0.0,1907.0,0.8605595667870036,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
SPAdes,0.0,0.7125451263537906,1579.0,1579.0,0.0,1579.0,0.7125451263537906,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
Unicycler,0.0,0.9517148014440433,2109.0,2109.0,0.0,2109.0,0.9517148014440433,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
VelvetOptimiser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
