Assembler,Algorithm,Type,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0]
BCALM2,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],0.0 [0.0;0.0],1464.0 [1464.0;1464.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1463.0 [1463.0;1463.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
IDBA-UD,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],0.0 [0.0;0.0],1517.0 [1517.0;1517.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1463.0 [1463.0;1463.0],0.0 [0.0;0.0],1.0 [1.0;1.0],0.96 [0.96;0.96],0.96 [0.96;0.96],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.04 [1.04;1.04],0.96 [0.96;0.96]
MEGAHIT,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],0.0 [0.0;0.0],3444.0 [3444.0;3444.0],0.0 [0.0;0.0],0.0 [0.0;0.0],4780.0 [4780.0;4780.0],0.0 [0.0;0.0],2.0 [2.0;2.0],0.96 [0.96;0.96],0.95 [0.95;0.95],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.04 [1.04;1.04],0.96 [0.96;0.96]
MetaHipMer2,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0]
metaSPAdes,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],0.0 [0.0;0.0],1388.0 [1388.0;1388.0],0.0 [0.0;0.0],0.0 [0.0;0.0],2586.0 [2586.0;2586.0],0.0 [0.0;0.0],2.0 [2.0;2.0],0.99 [0.99;0.99],0.98 [0.98;0.98],0.0 [0.0;0.0],0.0 [0.0;0.0],0.95 [0.95;0.95],0.96 [0.96;0.96],0.99 [0.99;0.99]
MINIA,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],1313.0 [1313.0;1313.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1313.0 [1313.0;1313.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SKESA,Multiple k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0]
SPAdes,Multiple k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],1517.0 [1517.0;1517.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1463.0 [1463.0;1463.0],0.0 [0.0;0.0],1.0 [1.0;1.0],0.96 [0.96;0.96],0.96 [0.96;0.96],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.04 [1.04;1.04],0.96 [0.96;0.96]
