Assembler,contigs,basepairs,max_contig,n50,mapped_reads,Ns,misassembled contigs,misassembly events,filtered_contigs,filtered_basepairs,filtered_n50,filtered_Ns,filtered_mapped_reads
ABySS,0.0,0.6505606256353891,0.7882442155788866,0.039429388471570376,1.0,0.7272911597729116,1.0,1.0,0.15491974877878578,0.43861993569759405,0.7924033837824028,0.0,0.9921228993959724
GATBMiniaPipeline,0.9844684999663821,0.44952436919780525,0.5853772130520651,0.5634459200534021,0.998680589642033,1.0,0.9166666666666666,0.8695652173913043,0.8471737613398465,0.44135193325196087,0.5791863593847218,1.0,0.9911756705089279
IDBA-UD,0.955467401779511,0.462891756044051,0.5422249546996194,0.4359854462744193,0.9984321886631397,1.0,0.8333333333333334,0.9130434782608696,0.8178646196789952,0.4408342024921843,0.44519483944339827,1.0,0.9926276833773907
MEGAHIT,0.9587171384387817,0.4654004333337308,1.0,0.8387264253956742,0.9991358937289357,1.0,0.9166666666666666,0.9130434782608696,0.8799720865317515,0.44284492503163597,0.8694037999563223,1.0,1.0
MetaHipMer2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metaSPAdes,0.8498397543647325,0.501337934293045,0.7871192291203902,0.9090268535191419,0.9994649454639565,1.0,0.9166666666666666,0.8695652173913043,0.9030006978367062,0.44245838806069304,0.9855698904350048,1.0,0.9990468884852816
MINIA,0.6638203455926848,0.5299805758870921,0.1639221009376739,0.10908701331344489,0.9915834173209831,1.0,0.8333333333333334,0.8260869565217391,0.468248429867411,0.43628397535405117,0.13824391088109375,1.0,0.9784157687305642
SKESA,0.7867724511979202,0.26506771166720255,0.05488082087900794,0.004759216604103228,0.9524283336533087,1.0,0.0,0.0,0.0,0.14444539554555724,0.030430142529266093,1.0,0.9205467769250751
SPAdes,0.8356977969026648,0.5042965481136903,0.585769800919063,0.5056018657777301,0.9986227606211544,1.0,1.0,1.0,0.8415910676901606,0.44077041516726867,0.5632110496235893,1.0,0.9990468884852816
Unicycler,0.9958537842623097,0.3786921640179578,0.784744257708009,1.0,0.9937413484816894,1.0,1.0,1.0,0.9218422889043963,0.3777819182451364,1.0,1.0,0.9891539235773892
VelvetOptimiser,0.19756157690669895,0.634596894319881,0.7846887028211698,0.4887818465760424,0.9890407514849857,0.0,1.0,1.0,0.854152128401954,0.44223784677774003,0.8663257611656167,1.0,0.9784745320914955
