,Reference,Breadth of Coverage,Contigs
0,Bacillus_subtilis,0.9829511846842939,33
1,Enterococcus_faecalis,0.9806912369192012,63
2,Escherichia_coli_plasmid,0.9932277036915833,4
3,Escherichia_coli,0.971750107125605,143
4,Lactobacillus_fermentum,0.9356432707563455,101
5,Listeria_monocytogenes,0.9839897979575865,37
6,Pseudomonas_aeruginosa,0.9890982917496647,79
7,Salmonella_enterica,0.9772796699655822,110
8,Staphylococcus_aureus,0.9831435423241307,48
9,Staphylococcus_aureus_plasmid1,0.0,0
10,Staphylococcus_aureus_plasmid2,0.884927797833935,1
11,Staphylococcus_aureus_plasmid3,0.0,0
