,Reference,Breadth of Coverage,Contigs
0,Bacillus_subtilis,0.982525050813498,18
1,Enterococcus_faecalis,0.9888785095340115,30
2,Escherichia_coli_plasmid,0.9811102929813558,2
3,Escherichia_coli,0.9720575292827474,98
4,Lactobacillus_fermentum,0.9297004775543173,79
5,Listeria_monocytogenes,0.9743237905292911,17
6,Pseudomonas_aeruginosa,0.9884684636936073,65
7,Salmonella_enterica,0.9765497990859177,70
8,Staphylococcus_aureus,0.9829070391866941,24
9,Staphylococcus_aureus_plasmid1,1.0,1
10,Staphylococcus_aureus_plasmid2,1.0,1
11,Staphylococcus_aureus_plasmid3,1.0,1
