,Reference,Breadth of Coverage,Contigs
0,Bacillus_subtilis,0.9761310653322052,170
1,Enterococcus_faecalis,0.9645219358176308,222
2,Escherichia_coli_plasmid,0.9480942121864973,8
3,Escherichia_coli,0.7863651033672904,1147
4,Lactobacillus_fermentum,0.9097076469047668,281
5,Listeria_monocytogenes,0.9693978829959944,184
6,Pseudomonas_aeruginosa,0.955440033096154,598
7,Salmonella_enterica,0.7990079722741508,1106
8,Staphylococcus_aureus,0.9549433937280692,206
9,Staphylococcus_aureus_plasmid1,0.0,0
10,Staphylococcus_aureus_plasmid2,0.0,0
11,Staphylococcus_aureus_plasmid3,0.0,0
